n_types,rank,rep,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,cand_e_core,record_id,origin,cell,e_target,feed,library_id,case_id,support_class,M_HM_tU,B_cycle,B_d
2,2,,662.2852698644757,1.1483275253218888,1.5035804686239078,1.9143393869929608,1368.6579804129997,0.03916263473549304,71.11376453307871,5.3,fb7f588c5f17892d9f9e524f149f4d37700aae87ed35883a6c9c93449432d200,elite,e5.3_f125,5.3,125,ga80,L1_L2,"trained (74,537 rows)",102.031,25.85360750324677,49.84575526625977
2,3,,664.0932793053518,0.573467226074154,1.522328301460907,1.9435313214523995,1356.5799803314237,0.04120142077650888,71.18662868289178,5.3,88abaa952bd5bf41b1ea3bedcebd247f1f7627185a1198c70cf06352f5d83f24,elite,e5.3_f125,5.3,125,ga80,L1_L2,"trained (74,537 rows)",102.031,25.924186706157535,49.98183196947173
2,4,,664.7437215527862,0.4173653602517399,1.5312210006804394,1.9542761743309036,1363.8199665616999,0.041533183139653186,71.15908180201507,5.3,322cfe91a0fd9e01876df0a7c6342c53b06d627b2fd0c86e1bd1f231939bef90,elite,e5.3_f125,5.3,125,ga80,L1_L2,"trained (74,537 rows)",102.031,25.949577997997892,50.030786380139936
2,5,knee,664.8284606495791,0.7129987558729952,1.5460076381780972,1.9670552511125066,1348.3403811773533,0.04304158078839356,71.48684861626643,5.3,78417ed331bf9c0f3793d33c3897f05cfcc8fbb347c5cce17855e618c855b6a6,elite,e5.3_f125,5.3,125,ga80,L1_L2,"trained (74,537 rows)",102.031,25.95288595523075,50.03716412168489
2,6,,667.6787069464043,1.2654173589596427,1.548438525690212,1.95452171440022,1316.9901673246347,0.05223157671110537,72.56990248154933,5.3,9dab7a8bd1c394dea76fdb0dd91d947f53565fdbc6b8b9a1d9c0973650504db7,guided,e5.3_f125,5.3,125,ga80,L1_L2,"trained (74,537 rows)",102.031,26.064150922758685,50.251682979078744
2,7,max_cyclen,668.6934673006218,1.6050220705703768,1.548439772542447,1.952635108426663,1318.5487988982181,0.05216470193079128,72.53224997024904,5.3,8691d7780aa9a33d6011a756b598fbed06b8a2e575cda45a4a6b0a3b474e1613,guided,e5.3_f125,5.3,125,ga80,L1_L2,"trained (74,537 rows)",102.031,26.103764088114403,50.32805716188457
2,0,min_f_r,673.0986036018334,0.9859730533198336,1.4906996132611008,1.8726433304858305,1445.6191826524168,0.04113918718101664,72.48002331594648,5.4,97c113c90cd8518d557c7b2e3939a3923ab22d6c4b5e39e7a69bd7a6aa9c98ea,elite,e5.4_f121,5.4,121,ga80,N1_N2,"trained (74,537 rows)",102.031,26.275727243739365,52.33429971686931
2,1,knee,674.2107755351067,0.6204408250671571,1.4932347072242163,1.8790595755673951,1443.2445560095475,0.040513371126857003,72.07426115218357,5.4,254cd964e1516c4d3f7e59d848c6c8feeb79837383c5459e043efd9b912ed00d,elite,e5.4_f121,5.4,121,ga80,N1_N2,"trained (74,537 rows)",102.031,26.319143061586043,52.420772544150715
2,2,,674.4155687330991,0.958646655090526,1.5046831908523275,1.8916661479496175,1466.206769205261,0.03926029857071615,72.3355384718669,5.4,a65a79d613001258708b655e8d06eeed2c8aa14df8eff4bc20f07dc46f7e16ea,elite,e5.4_f121,5.4,121,ga80,N1_N2,"trained (74,537 rows)",102.031,26.327137566674946,52.43669548403852
2,3,,674.9576654498671,0.942584869167254,1.5083617213597948,1.892131401249088,1454.4124128185717,0.041117815876264244,72.40446350280473,5.4,fa9882bcc638b0525eb3aa82d8ab172d7327504a68e87fd011b8c842edab80a7,elite,e5.4_f121,5.4,121,ga80,N1_N2,"trained (74,537 rows)",102.031,26.348299377728036,52.47884421514427
