segment,feed,db_n,db_min_f_r,db_best_efpd,db_best_bu,db_max_efpd,db_max_bu,db_best_pair,db_best_split,bias_n,bias_n_tail,f_r_bias_tail,f_r_bias_all,f_r_mae,cyclen_bias,store_min_f_r_true,mesh_min_pred_f_r,mesh_n_feasible,mesh_pred_cyclen,mesh_ceiling_cyclen,mesh_pair,corrected_floor,gap_total,gap_pool,gap_data,gap_search,verdict
5.3,113,71,1.5394,646.8,54.13,649.3,54.35,L3_L4,"L3 x61, L4 x52",73,40,0.008380124130147886,-0.0020127296817786344,0.04998574638738287,0.2671512943327359,1.7452,1.6709416441975298,0,,633.9860194958864,L1_L2,1.6625615200673818,0.13154164419752967,0.12316152006738168,0.20579999999999998,-0.0826384799326183,pool-starved
5.3,117,145,1.5315,649.2,42.44,661.3,53.47,L1_L2,"L2 x60, L1 x57",100,40,0.013491096848007566,0.010147422616628132,0.038511834992836114,-0.18261597492675605,1.5409,1.557521028901187,0,,649.2927137162369,L1_L2,1.5440299320531794,0.02602102890118685,0.012529932053179316,0.009399999999999853,0.0031299320531794628,model-biased
5.3,121,99,1.5198,661.8,51.79,671.2,52.5,L1_L2,"L1 x61, L2 x60",100,40,0.004823127463643795,-0.009215755647574273,0.018064828833692096,0.1707249435776646,1.4911,1.49095263696997,302,663.4139842128,668.3141762955826,L1_L2,1.486129509506326,-0.028847363030030104,-0.03367049049367399,-0.028699999999999948,-0.00497049049367404,model-right
5.4,101,204,1.4958,603.7,56.55,610.7,57.18,N3_N4,"N3 x64, N4 x37",87,40,0.009482693263400722,-0.01564016169874899,0.06510601102390383,0.3487816760836262,1.7471,,-1,,,,,,,0.2513000000000001,,not-in-mesh
5.4,105,242,1.5024,621.3,55.99,627.6,56.52,N1_N2,"N1 x64, N2 x41",52,40,0.007319857671310087,0.0010126454799024597,0.048325363996891676,0.2457901725980426,1.7533,1.7372342449589953,0,,611.8415299454621,N1_N2,1.7299143872876852,0.2348342449589953,0.22751438728768525,0.2509000000000001,-0.023385612712314874,pool-starved
5.4,109,142,1.538,649.9,56.4,649.9,56.41,N3_N4,"N3 x60, N4 x49",100,40,0.016772210474566375,-0.008200726931803914,0.05346871627521585,-0.14182676467732336,1.694,1.6984116059064305,0,,633.8755339145389,N1_N2,1.681639395431864,0.16041160590643044,0.143639395431864,0.15599999999999992,-0.012360604568135924,pool-starved
5.4,113,23,1.5374,659.7,55.24,660.8,55.35,N1_N2,"N1 x61, N2 x52",100,40,0.006394156487742037,0.0007952754751998658,0.033708668631859895,-0.1393120835147795,1.4961,1.622631861309147,0,,651.532526915252,N1_N2,1.616237704821405,0.08523186130914695,0.07883770482140484,-0.041300000000000114,0.12013770482140496,pool-starved
5.4,117,80,1.5249,675.8,54.64,676.2,54.67,N3_N4,"N3 x60, N4 x57",100,40,0.011821372863462788,0.001861009538480196,0.04505012984052275,-0.23583472515925563,1.577,1.5768386980144575,0,,668.5134379420772,N1_N2,1.5650173251509947,0.05193869801445761,0.040117325150994754,0.052100000000000035,-0.011982674849005281,pool-starved
5.4,121,78,1.5202,680.8,53.28,685.9,53.67,N1_N2,"N2 x61, N1 x60",100,40,0.016176282556850347,-0.005431140326201831,0.035178076870218664,-0.20931317823738596,1.4932,1.509445191494717,110,680.5117212131031,684.023605760262,N1_N2,1.4932689089378666,-0.010754808505283098,-0.026931091062133428,-0.026999999999999913,6.890893786648533e-05,model-right
5.5,101,180,1.5104,612.4,57.38,620.6,58.1,H3_H4,"H3 x60, H4 x41",100,40,0.03258078764827242,-0.002745315310094654,0.06652692215825307,0.35093662432807377,1.7488,,-1,,,,,,,0.23839999999999995,,not-in-mesh
5.5,105,190,1.511,630.0,56.7,639.6,57.59,H3_H4,"H3 x68, H4 x37",100,40,0.013219329475080177,-0.0035485345830937962,0.05484462556784294,-0.3038698888791669,1.7361,1.733501167500227,0,,626.0864273358977,G3_G4,1.7202818380251468,0.22250116750022708,0.20928183802514688,0.22510000000000008,-0.015818161974853195,pool-starved
5.5,109,19,1.5449,661.6,57.41,662.1,57.46,G3_G4,"G3 x56, G4 x53",100,40,0.05527470833930592,0.003071648578145101,0.06466262988086059,0.15993740343260923,1.706,1.7053491773910732,0,,643.5822469102109,G3_G4,1.6500744690517672,0.16044917739107323,0.1051744690517673,0.16110000000000002,-0.055925530948232716,pool-starved
5.5,113,16,1.545,665.3,55.72,676.1,56.58,H3_H4,"H4 x57, H3 x56",100,40,0.016733106808006132,0.004303746950182816,0.04631055454438873,0.2514614604075143,1.6454,1.626018521328892,0,,663.9130920561074,G3_G4,1.609285414520886,0.08101852132889209,0.06428541452088599,0.10040000000000004,-0.03611458547911406,pool-starved
5.5,117,31,1.5346,677.7,54.84,683.2,55.25,H3_H4,"H4 x64, H3 x53",100,40,0.016732511909934532,0.0007650585032953083,0.04250983361469889,-0.2152545294055369,1.6121,1.6008396152998248,0,,686.0557803564819,G3_G4,1.5841071033898901,0.0662396152998248,0.04950710338989017,0.07750000000000012,-0.027992896610109952,pool-starved
5.5,121,70,1.5168,689.7,53.97,699.1,54.7,H3_H4,"H4 x61, H3 x60",100,40,0.0311560667237042,0.012623170046811733,0.04646436171061711,-0.08971945089374003,1.4972,1.5525579328235977,0,,702.1461046710651,G3_G4,1.5214018660998934,0.03575793282359774,0.004601866099893437,-0.01959999999999984,0.024201866099893277,model-biased
