cell,e_target,feed,library_id,pair,rank,rep,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,M_HM_tU,cand_e_core,in_distribution,record_id,origin
e5.0_f121,5.0,121,ga80,E1_E2,9,max_cyclen,639.8273875255527,0.4396542844599339,1.549085374828675,1.9478706538514086,1347.615065308316,0.03781374513592025,69.55825910444814,24.97691991594255,49.747419006133505,102.031,5.0,True,6d5c569d6f7ace47e205d9c50450f0df8c99ac9dbe2179c4f40e56825fc982b4,elite
e5.1_f117,5.1,117,ga80,J1_J2,0,min_f_r,630.1909420746342,1.2008011622492374,1.5233669441108697,1.9207875659381064,1280.0669454762747,0.04729702167313323,71.71947797421527,24.600742323369072,50.673323931042276,102.031,5.1000000000000005,False,b7a98cec212cc82a3487d189aff44343e243e072d359c4435f380b9f17696fe3,elite
e5.1_f117,5.1,117,ga80,J1_J2,1,,630.5420445798674,0.5888116912231276,1.524483503672672,1.9305757044112388,1289.9483769919384,0.046759234535800706,71.57391930479739,24.614448299897223,50.701555899788296,102.031,5.1,False,a86c10b319da3b7774132f39d6b592fc058ebffa3cc9cc0dfb916cbefcf144c5,guided
e5.1_f117,5.1,117,ga80,J1_J2,2,,630.7346208547461,0.5722813665727305,1.5272694482054845,1.9345821308661382,1288.2434414468785,0.046826786371104934,71.41122013185444,24.62196589337499,50.71704085729379,102.031,5.1,False,a7792626efdb4e2ab61731d6ba99be476c494f36b52d0439c667f7ac07f3a692,elite
e5.1_f117,5.1,117,ga80,J1_J2,3,,631.091974224097,0.6727085742967008,1.5276317917045483,1.93639494365708,1293.0741677287538,0.04632556025079798,71.70741365613489,24.635915884672627,50.74577545475302,102.031,5.1,False,1462da9e393d0da04a154b886654853ffae686ee244aac3d64f5bbd5c468c3f9,guided
e5.1_f117,5.1,117,ga80,J1_J2,4,,631.3752017571908,0.9031138270680358,1.5298642371373086,1.9388483615816265,1302.3445882629412,0.046252872417561486,71.49318152808597,24.646972228227142,50.768549632502065,102.031,5.1,False,989386ef62fc24cd23cc591976ff1b77437f9d6a5aca9cd4c0f26176b004a2b5,elite
e5.1_f117,5.1,117,ga80,J1_J2,5,knee,631.4047398063502,0.8383798022422938,1.5366242045262755,1.9418983098733662,1288.7260512034766,0.04745282191560114,71.64430368214632,24.648125304045266,50.770924771580425,102.031,5.1,False,9c83f891cc9ae599fb185adade5aa2b727395071bad323d13a0c6211990deb96,elite
e5.1_f117,5.1,117,ga80,J1_J2,6,max_cyclen,632.0882028385686,1.1468025221735392,1.5376468180889273,1.9469783330817263,1300.3545427114484,0.045573547461445416,71.71637180461235,24.6748056271356,50.82588167640752,102.031,5.1,False,c32736c8229638d5a6fe1d967ba05402c1dc6c32bb47c67e494579371759bdac,elite
e5.1_f121,5.1,121,ga80,J1_J2,0,min_f_r,633.9455238775096,1.6394184823587308,1.4925951213912327,1.8615588884185212,1275.856696940348,0.039068233207506284,69.0972342040731,24.747309805219054,49.290096388907365,102.031,5.1,True,e99964a952c4f4d5b68220025a3caa300e2e110ac6e3125cc3f7028c52ab39df,elite
e5.1_f121,5.1,121,ga80,J1_J2,1,,634.6262278861057,1.633211334490169,1.4949753860327748,1.8610802655829042,1282.8649978919889,0.037925380847329486,69.08316184817467,24.77388242439829,49.34302201884288,102.031,5.1,True,f1305cb6e6e5791c5f06288c6de0ff4d348a71445b9a0508f63abdbe8a7054dd,guided
e5.1_f121,5.1,121,ga80,J1_J2,2,,634.6542597432065,1.4869114750384889,1.5015003350317007,1.8720139953276171,1286.580491757045,0.038696662981136186,69.06039540285491,24.77497670304837,49.34520153251783,102.031,5.1,True,67f60096963f5e8fa35dfeae3642c95273b2bb002e3d95ad17dde0a4e4860b19,elite
e5.1_f121,5.1,121,ga80,J1_J2,3,,635.2786191178114,1.967461807580772,1.501916015977795,1.8750750712088537,1293.0802715894329,0.03786884998396006,69.22505401242555,24.799349798671212,49.39374629322118,102.031,5.1,True,69ee44640b1ca1089154fcd6d3e5b6f4e84f2ade7a25cd2d245f941925470905,elite
e5.1_f121,5.1,121,ga80,J1_J2,4,,635.3755400891972,2.0308868524470847,1.5048042907663672,1.8772636895948076,1293.6828831672062,0.037900823027779945,69.28183095756788,24.803133299327293,49.40128202593287,102.031,5.1,True,015197a23a000ac8e543803949a90754e60f91936a9df6b435673394cf4e036d,elite
e5.1_f121,5.1,121,ga80,J1_J2,5,,636.5400993485985,1.7726559607641634,1.51125384814851,1.8905388904968126,1299.1771642117499,0.03763713535579832,69.64826788882895,24.848594159438214,49.49182803656702,102.031,5.1,True,e79ee50209f116965c4915fe6d85aa251c2266e316f146e86475feca9861bb16,guided
e5.1_f121,5.1,121,ga80,J1_J2,6,,637.9987435069031,1.9418737306089948,1.5115279130496888,1.8934551167649039,1298.7742250467052,0.038238197696473415,69.62459618343614,24.905535201722646,49.60523953400957,102.031,5.1,True,455cf178fd31923511156fb90108d98fc6463f4b757a34e6bbd58e7de7ee2fec,elite
e5.1_f121,5.1,121,ga80,J1_J2,7,knee,644.9493443638423,0.4763740064137471,1.5272573180802196,1.9234271895777928,1315.554973279994,0.04487540119390556,70.6566849773996,25.176865570437943,50.14565787169872,102.031,5.1,True,85f685330b3d6dc246b843c77456cd1e40838e96dfbb6fcb7a11e7712e8c1e58,guided
e5.1_f121,5.1,121,ga80,J1_J2,8,,644.9941736948929,0.7762121838962126,1.545651957030241,1.9433897936027158,1300.651490518455,0.04331111673931123,70.96593307340336,25.178615571505986,50.149143411016055,102.031,5.1,True,61b5d551fd60b6ea7340366f634afae6ec610297d0403a7ac0f19036f0223510,guided
e5.1_f121,5.1,121,ga80,J1_J2,9,,646.4952620457047,0.8828566500774183,1.5464529181303583,1.9472168226865365,1336.5590705292846,0.042946765435294645,70.55219152863486,25.23721350628646,50.26585500012427,102.031,5.1,True,2c029c3107de97bddf1af8b8f5b19d6841ef1acb78130287c330be810d91c08a,guided
e5.1_f121,5.1,121,ga80,J1_J2,10,,646.6444514681524,0.8062212790248925,1.5468253571776156,1.944960026452957,1332.419638243193,0.04419329251083139,70.5488902521101,25.24303740868487,50.277454673496315,102.031,5.1,True,c86d753a1e5c5244ef270e730e143a510881668a10e60701cb73c91d70c43193,elite
e5.1_f121,5.1,121,ga80,J1_J2,11,max_cyclen,646.6705055178052,0.9096160970441379,1.5494742169253148,1.948507426322034,1332.4098329225822,0.04423793809042892,70.51392506013445,25.24405447973302,50.27948041004676,102.031,5.1,True,82e9c787b5e2c037f08d280927b3a9ab91f94a2c2e2b1c5e34d5eeed368aeb0d,guided
