segment,feed,pair,grp,record_id,f_r_true,f_r_pred,cyclen_true,cyclen_pred,cbc_true,cbc_pred
5.0,101,E1_E2,rand,05d0c036ac111622a5adf6fbc55d0144be4abdb61b1ff2d42425d02da6785b90,2.0936,2.1555983437033115,536.739,539.1987633297306,1249.85,1251.1335611340594
5.0,101,E1_E2,rand,74493f205cd1d6e1bebdb2132d8a4fa7fc40f5cae9ff057ccafba238c678f23f,3.0936,2.901457420737122,550.359,549.8835970467903,1155.88,1140.548635734993
5.0,101,E1_E2,rand,d1f087a2904065984e3ff97915e444f277a5f4093b5112204b84cdf471848430,2.3028,2.244450395301608,532.418,530.9132219916812,1084.78,1084.6031509630427
5.0,101,E1_E2,rand,d589abf4f03c3057f9ae067ef2338ed8ecfd63a721596c4977ab91c2fb84370a,2.0786,2.0560498777575877,536.604,537.6109950154282,1130.1,1155.2937502884
5.0,101,E1_E2,rand,d5b30794c6d19f75d5902d5d80861709f19c96b4fb08afada790abd90cc04996,2.2605,2.1804888606579764,543.737,547.0860231297211,1163.77,1199.4840820481286
5.0,101,E1_E2,rand,3efee2ffa58ae7d1d02b29a8e436b31a50618c88941da07a46c27b5fb50d1cc4,2.2134,2.114958186721479,531.408,536.3248497959648,1198.54,1209.4475394313297
5.0,101,E1_E2,rand,447abbd604783903c9320cc8c70c77f421ba66cdf34046ec89310355129266e1,2.3641,2.3662662200562607,525.92,529.1258940619109,1154.04,1168.8236474384696
5.0,101,E1_E2,rand,9a6c154e9e68337e3c554601b1b653a270e690621cb3230ceb6f09d50f0c677f,2.0193,2.065119660377988,527.985,532.6418841389344,1049.56,1084.311787466972
5.0,101,E1_E2,rand,919b1d3d35ca083314f62973297a0d06f1c9b6b736b5a2eccba6fb528445acff,2.0834,2.1525230189030253,537.277,536.8838652003109,1239.93,1217.1881551925815
5.0,101,E1_E2,rand,38d669a306deccb05366f28a44d480356e5685f07318889b176868db2f28c537,2.7793,2.5879592891203442,527.954,528.6306572798575,1184.16,1228.1788238197191
5.0,101,E1_E2,rand,806da49e0d79080955c27d8e55a2472ca837f4f96af857adc0ca6fb2e3b64c6b,2.4109,2.3839855864029578,534.446,534.7190012440445,1168.79,1137.593181743125
5.0,101,E1_E2,rand,e5c10232e77a408f67438bcd8f598d377845b6c5485eb8433a1ae801c60b159c,2.3152,2.2198185687719576,552.146,546.9409685606223,1155.86,1160.8356645980498
5.0,101,E3_E4,tail,f7283f6674d9fc60af8e88af5e912e25498c11e3e62daf78fa5d7ff6a80c2c69,1.8171,1.879301397276917,550.128,545.8191799659215,1142.87,1122.6520457947313
5.0,101,E3_E4,tail,7e1f0fe58933655fd18e2f9ebf5db66a7841a73c8e04aa1b5640092fa8d0b06d,1.8348,1.9321007382967048,542.474,545.4076804745848,1246.4,1227.6930920414818
5.0,101,E3_E4,tail,032de2d1a13848527871241bab1c3e98e7652107352364c56d1505fa10ba1f5e,1.8566,1.9474865678594249,551.595,547.9415947483179,1315.84,1304.3565721885975
5.0,101,E3_E4,tail,a40bec319424260650a56fc6d2785a2972129a73d0f3a1e8de2ab06eb103dab8,1.878,1.8352912219825281,546.476,544.4749685980374,1207.32,1183.3795608680664
5.0,101,E3_E4,tail,f4b338420411704bba84afc9c9ce31b5bd0cc47aa63f0eed6a036690ff0874f1,1.8791,1.9316049798115653,548.828,547.1879551963541,1282.77,1302.115159024913
5.0,101,E3_E4,tail,48191b8fb41f89b381d8e9aa73f5f4288e7955c650b37c2ea52b4f153925c57c,1.8973,1.9194728436600283,555.789,554.8697699776187,1340.88,1339.5178851176172
5.0,101,E3_E4,tail,7fb2cb9130cf9244c82ca54f8d14f687739b078cbcad207bc417d74d67be2420,1.8976,1.9544121130710175,553.558,550.3936048067368,1243.22,1264.519835842349
5.0,101,E3_E4,tail,6a9afd4e2ef523e7ca94b1ae403ece338cfd89bcf1e716fc1e31cc5e0bc1cb2c,1.898,1.9147562461967138,544.239,542.4667537168017,1210.97,1232.2617385400933
5.0,101,E3_E4,tail,609854cec7e3d6362586549d7b7d1e247f3a9e417daeae4aabade172a6e07ec1,1.9098,1.8667569465701397,542.004,541.8359066508602,1197.28,1195.0298404030027
5.0,101,E3_E4,tail,99db6d6f5ccdcf61827aaf039e4427b414256a9b683643c6bc2f4377163148d8,1.9125,1.9951436019045858,539.399,540.9991149115998,1379.61,1348.453526689908
5.0,101,E3_E4,tail,72fc4ba66d97d1d648d8ced6a615d8320a1c1d79e5302faa218f867bee4b86eb,1.923,1.9263033826779163,550.833,549.3884960008785,1203.58,1213.5778134723998
5.0,101,E3_E4,tail,9f0bd0d01c748b36dcb793d65378a96490ddef8a8e0827d387961a9bdce8e87a,1.9454,2.001554846729831,553.603,549.8584412815464,1339.97,1304.0260960432117
5.0,101,E3_E4,tail,959ee5a7bafc7b8b03a7ee9b311c4389d7779c14ffb25d3b831ab52569db5ffa,1.946,2.083188846115416,534.269,536.6047947807102,1156.85,1196.9273588683843
