cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span,seconds
e5.4_f117,5.4,5.4,1,ga80,N1_N2,5.4,0.0,5.4,117,0.42337,102.031,1200,1200,2,653.3070881333135,1.2224470299114634,1.546586563608261,1.9160825055729465,1406.7034069664105,0.0422907062353695,82.93179497519351,25.50312652906205,52.53208114105944,1.5414505518895671,667.1358485353123,,,3587,217,2213,217,False,c884eddbb117522ba99234bffd55bb3c3674adecfe76f5d31d144cac6d2a7804,elite,2,1.5414505518895671,652.9440934299491,0.362994703364393,0.0051360117186938,355.1
e5.4_f121,5.4,5.4,1,ga80,N1_N2,5.4,0.0,5.4,121,0.42337,102.031,1200,1200,133,680.0912474565135,1.5590022562602532,1.5494406814278134,1.935244889891389,1430.5708306252343,0.0503579680509388,74.32765731116686,26.54869884352428,52.87798695280456,1.493717090111148,685.0021294934196,,,44292,30448,3450,230,True,274ac30426c5cb8c41c2bbe3da45dda0d264e7a5429c9766290eb5d47d4c5959,elite,14,1.493717090111148,671.7427265861136,8.348520870399966,0.0557235913166653,347.9
e5.5_f105,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,105,0.42337,102.031,1200,1200,0,,,,,,,,,,1.6755435761577078,625.392705801711,625.392705801711,1.84079809701125,285,100,285,31,False,,,0,,,,,353.1
e5.5_f109,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,109,0.42337,102.031,1200,1200,0,,,,,,,,,,1.71699738610746,644.1244960761824,644.1244960761824,2.6578427466912373,3934,450,1763,128,False,,,0,,,,,333.1
e5.5_f113,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,113,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5896342612831786,663.5312436001803,663.5312436001803,1.7540298590525225,763,151,751,67,False,,,0,,,,,347.0
e5.5_f117,5.5,5.5,1,ga80,G3_G4,5.5,0.0,,117,0.42337,102.031,1200,1200,0,,,,,,,,,,1.5822985707870194,686.1936810138973,686.1936810138973,1.7925508711702696,3587,365,2213,144,False,,,0,,,,,344.6
e5.5_f121,5.5,5.5,1,ga80,G3_G4,5.5,0.0,5.5,121,0.42337,102.031,1200,1200,17,690.9468444548515,1.07653579732699,1.5403629029450046,1.932256015528832,1540.8772101414652,0.0431573941663896,75.08133264701799,26.97246841349507,53.722023864895135,1.5330212431528685,700.1234609812457,,,44292,8928,3450,406,True,67da6691c101893688adc7e8993a6c3792f060e1d93e0e2584ff57312463eac2,elite,4,1.5330212431528685,689.083244484445,1.86359997040654,0.007341659792136,343.0
e5.6_f105,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,105,0.42216,101.74,1200,1200,0,,,,,,,,,,1.826368579982632,641.9460082011618,641.9460082011618,1.933878934034314,285,0,0,0,False,,,0,,,,,353.4
e5.6_f109,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,109,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7921652490674127,661.6205197031251,661.6205197031251,2.027859366242846,3934,0,2171,0,False,,,0,,,,,356.5
e5.6_f113,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,113,0.42216,101.74,1200,1200,0,,,,,,,,,,1.731239866085388,674.8170557696835,674.8170557696835,2.368988900139545,763,0,12,0,False,,,0,,,,,353.4
