cell,e_target,e_targets,n_targets,library_id,pair,e_core_pair,pair_spread,node_e_core,feed,per_fa_tU,M_HM_tU,n_candidates,n_in_band,n_feasible,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,min_pred_f_r,max_pred_cyclen_any,ref_cyclen,ref_f_r,n_store_feed,n_store_feed_ecore,n_store_feed_lib,n_store_pair_feed,in_distribution,node_record_id,node_origin,seconds,ceil_cyclen,ceil_B_cycle,ceil_B_d,n_pareto,pareto_min_f_r,pareto_min_f_r_cyclen,pareto_cyclen_span,pareto_f_r_span
e5.6_f109,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,109,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7824154898608755,658.0625143395158,658.0625143395158,1.992625510976761,3934,0,2171,0,False,,,164.5,658.0625143395158,25.762364798646466,56.96082492177797,0,,,,
e5.6_f113,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,113,0.42216,101.74,1200,1200,0,,,,,,,,,,1.759687482100755,673.421964617596,673.421964617596,2.4433840529996447,665,0,12,0,False,,,160.6,673.421964617596,26.363669009945795,56.226940100857846,0,,,,
e5.6_f117,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,117,0.42216,101.74,1200,1200,0,,,,,,,,,,1.7555536551691102,689.4955518068175,689.4955518068175,1.9836905934735776,3587,0,1374,0,False,,,165.1,689.4955518068175,26.992930831988936,55.60082333768661,0,,,,
e5.6_f121,5.6,5.6,1,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053478792954,0.0085267821058891,,121,0.42216,101.74,1200,1200,0,,,,,,,,,,1.727362278810079,708.3230473117127,708.3230473117127,3.0649468747015263,44292,631,1991,0,True,,,162.2,708.3230473117127,27.730004889350813,55.23083618457476,0,,,,
e5.7_f105,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,105,0.42375,102.123,1200,1097,0,,,,,,,,,,1.874906536867724,657.7726776140029,657.7726776140029,1.9039972415036568,285,0,0,0,False,,,149.5,657.7726776140029,25.65444194683444,58.883052468448575,0,,,,
e5.7_f109,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,109,0.42375,102.123,1200,1142,0,,,,,,,,,,1.8367830838206205,679.9665172897124,679.9665172897124,1.92753442275933,3934,0,2171,0,False,,,150.9,679.9665172897124,26.520045811080017,58.6360645914705,0,,,,
e5.7_f113,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,113,0.42375,102.123,1200,1139,0,,,,,,,,,,1.80694220919554,699.7902592833258,699.7902592833258,1.891620896749724,665,0,12,0,False,,,151.6,699.7902592833258,27.293211154445977,58.2094149400131,0,,,,
e5.7_f117,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,117,0.42375,102.123,1200,1147,0,,,,,,,,,,1.757575043742251,713.1138319694389,713.1138319694389,1.7756051138114564,3587,0,1374,0,False,,,149.8,713.1138319694389,27.812856973789206,57.28973103148033,0,,,,
e5.7_f121,5.7,5.7,1,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700413594677216,0.1711131393121912,,121,0.42375,102.123,1200,1138,0,,,,,,,,,,1.732504913183767,730.6017943537194,730.6017943537194,2.4216695360468314,44292,0,1991,0,True,,,147.3,730.6017943537194,28.49492226933075,56.75434931329513,0,,,,
e5.8_f105,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,105,0.42293,101.925,1200,1200,0,,,,,,,,,,1.8681537902734653,671.4512889925854,671.4512889925854,2.181284459745753,285,0,0,0,False,,,168.7,671.4512889925854,26.238807790605524,60.22431121462792,0,,,,
e5.8_f109,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,109,0.42293,101.925,1200,1200,0,,,,,,,,,,1.8797765195736191,691.7962084949907,691.7962084949907,2.2306082420143256,3934,321,2171,165,False,,,167.8,691.7962084949907,27.03384153481038,59.772071650360566,0,,,,
e5.8_f113,5.8,5.8,1,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805535636425224,0.0389163651761688,,113,0.42293,101.925,1200,1200,0,,,,,,,,,,1.8552524394663648,711.0694894201251,711.0694894201251,2.046769367138068,665,0,12,0,False,,,164.2,711.0694894201251,27.786998051119536,59.262535666546974,0,,,,
