cell,e_target,feed,library_id,pair,rank,rep,pred_cyclen,sigma_cyclen,pred_f_r,pred_f_q,pred_cbc_max,pred_ao_abs,pred_max_pin_bu,B_cycle,B_d,M_HM_tU,cand_e_core,in_distribution,record_id,origin
e5.3_f117,5.3,117,ga80,L1_L2,0,min_f_r,636.2706700350478,1.165037377225038,1.5216610406061348,1.9066436223170944,1331.2285031772558,0.0402792265527043,81.96120357404057,24.83807645650964,51.16219167537455,102.031,5.299999999999999,False,2e82f05ab554dbd7dfee1770c0858a47d30e2e3a78de29e08f2599e0bb5b73b4,elite
e5.3_f117,5.3,117,ga80,L1_L2,1,,637.3005814404702,1.140380648342029,1.5302754642457446,1.9129740766290813,1332.3391247640895,0.0407425408377453,81.47427577223172,24.87828107293475,51.24500631262628,102.031,5.299999999999999,False,ae655823f6e267d604773927d4e9735ab47d7d5da26a8a45df01c14a48ddb665,elite
e5.3_f117,5.3,117,ga80,L1_L2,2,knee,637.924417088678,0.6567206289152323,1.5439731601263915,1.950119414538909,1306.7728947487053,0.0441024391378834,84.37483554064666,24.90263372386808,51.29516861070263,102.031,5.299999999999999,False,8cf2dc25770127b498257c0ef3bc0890503adfe3d9db8e16b5364069c20207ec,elite
e5.3_f117,5.3,117,ga80,L1_L2,3,max_cyclen,638.7552254569679,0.7029003963451412,1.5447301632059471,1.9318850370752507,1339.462221279427,0.0401118220437316,81.63362017574326,24.93506596181983,51.36197347691093,102.031,5.299999999999999,False,9db42bc39331560fc4d212a1dbdf4c5f1e6eae1f4a33ded0561a797f6e4604b1,guided
e5.3_f121,5.3,121,ga80,L1_L2,0,min_f_r,654.5357179068343,1.2096963174987143,1.4851835484969718,1.8526928893215784,1357.231572586522,0.0408184974142647,71.78694262890697,25.55108850764858,50.89101099457279,102.031,5.3,True,890c3a591851775b844d3ce5f74d546ca4c11ea627be5b5981377db5a5357434,elite
e5.3_f121,5.3,121,ga80,L1_L2,1,,654.5737489801508,1.3231712661515098,1.4949441093845477,1.8615675434038663,1358.0197110275856,0.0403294305083596,71.89661354972921,25.552573125361203,50.89396796043016,102.031,5.3,True,fc724c6d57a54eaf0abe45f1bc08ff282286db3431321edea37de38ab98af7c2,elite
e5.3_f121,5.3,121,ga80,L1_L2,2,,656.0822652990656,0.9179666082773896,1.4978403431228031,1.8695623761334412,1364.103170110151,0.0405324880611382,72.12164981719586,25.611461025479304,51.01125708380589,102.031,5.3,True,59c06b9715121f0c8c01b305f086816d7e763531ecc8cc8db233c32b9cfeb88b,elite
e5.3_f121,5.3,121,ga80,L1_L2,3,,657.7701389103198,0.7022837272508184,1.5123274395273263,1.8967616998329748,1331.45018542686,0.044406270884771,72.58044350982723,25.67735049010439,51.1424914720261,102.031,5.3,True,fdbc4de18d3b9d0ed23426a1fa9c51b2536e2a77a76499df91d208f3165f4ecf,guided
e5.3_f121,5.3,121,ga80,L1_L2,4,,659.5717817958683,0.8684792632485847,1.5200355091629962,1.909963946292787,1310.1840107979144,0.0485250725235278,72.77378721370572,25.747681162011865,51.28257157061867,102.031,5.3,True,c4a88e9325404894688b0c362d3948b93fb0238a3c5a93936881edb0899d17f9,elite
e5.3_f121,5.3,121,ga80,L1_L2,5,,659.9864585087114,0.6517062214830787,1.5223681993115736,1.9082515268636544,1300.6234942401516,0.0514612547704727,72.93674657212091,25.763868882715325,51.31481322920987,102.031,5.3,True,2e915de7e2ccc02bae176176b647a33638953f46437a50f63438d6a039294289,elite
e5.3_f121,5.3,121,ga80,L1_L2,6,,661.2181407576694,0.8641117924969516,1.52442304991073,1.9108357838541845,1319.3450266860066,0.0510846836466684,73.04592342960186,25.811950020681437,51.4105781403655,102.031,5.3,True,0aee0411a2ea1e31156971a8bcfeeac76a6422ea3273110d81a1981c1e9c65a1,guided
e5.3_f121,5.3,121,ga80,L1_L2,7,,661.6755567891807,0.7108001245499556,1.52455898822175,1.9058625613358848,1319.9724027302716,0.0509070062221332,73.29151007790017,25.829806154710816,51.446142837068656,102.031,5.3,True,4c38fad8b1e2e9a1b7b372e7b6b772797e216c34a61ebce1585922446db8caa5,elite
e5.3_f121,5.3,121,ga80,L1_L2,8,,661.7406687293571,0.6175149397116791,1.5275048973707857,1.9080483837290572,1319.485573989184,0.0505039507597947,73.31285165287595,25.8323479272999,51.45120537586179,102.031,5.3,True,1dc16dc7a59d173d4dbb6cc8578eb5b58ad957bd752527a1b2001df90b13e80e,elite
e5.3_f121,5.3,121,ga80,L1_L2,9,,662.0021568292489,0.8561101387269969,1.5278910438708826,1.9161251494092304,1327.2152130111515,0.0503062010441804,73.13245093868365,25.842555629341582,51.47153641877125,102.031,5.3,True,a5e71575751f9d0cfd879633c4593d4161dbd274ba27ea1b95bf1acc2dfd5302,guided
e5.3_f121,5.3,121,ga80,L1_L2,10,knee,662.3535544817969,1.0795258195899124,1.5284363582750835,1.9187756076953657,1322.5177388925222,0.050628997308436,73.13358368111636,25.856273127525405,51.498858047385305,102.031,5.3,True,28f89a544c0c476e8b34ee3d83ca300d5379e9be1daa36f41a48db4dfed46348,guided
e5.3_f121,5.3,121,ga80,L1_L2,11,,662.4301434592728,0.6677939609797428,1.5374312698965158,1.9241706216473184,1326.1687018800346,0.049916875201836,73.31521499547173,25.859262928828315,51.50481294088945,102.031,5.3,True,8fdd812a787f05dc1358e83aedcbad8aafd301d3236b505981e36d877439702f,guided
e5.3_f121,5.3,121,ga80,L1_L2,12,,662.4715746565139,0.9351079713003372,1.5381924704432155,1.9265570391565832,1324.855877426573,0.0496043744272475,73.30662374911842,25.86088027706268,51.50803427084384,102.031,5.3,True,b6008c33fa60d8cc502b3e8adbe59c01ac1444c484e8bdc1ce96e7e5dcaa332b,elite
e5.3_f121,5.3,121,ga80,L1_L2,13,max_cyclen,663.1287649732905,1.2796535295791542,1.5497241733575144,1.9460336018802555,1339.9181616235176,0.0479781062238948,73.63053044922275,25.88653499305591,51.55913168038409,102.031,5.3,True,e8aa6b3ae4f0e140a6054ec4700c388f9674a269b547f3b4827b83511e51cbad,guided
e5.4_f113,5.4,113,ga80,N1_N2,0,min_f_r,638.422683354645,0.8772580016483515,1.5145133409443945,1.865653631163355,1392.0007637105398,0.0442518422579269,87.411270896378,24.92208452710738,53.152410363122826,102.031,5.4,False,20c7ce365ca8f789e8b6fc3c3c5fef94117b5de84b6df2ecbcc46bba7a74d2c2,elite
e5.4_f113,5.4,113,ga80,N1_N2,1,,639.5030640337186,0.9994965699328844,1.5153129581873914,1.854447562239684,1404.4093943449418,0.0432285961001148,86.28885859811717,24.964259310847588,53.242358353223615,102.031,5.4,False,7de45f4dc0ac0d7100ebdcaa52886aaa4960b71ddc53249489c75a55dc413d64,elite
e5.4_f113,5.4,113,ga80,N1_N2,2,,639.6410817812019,1.3817166695934695,1.5163085084166403,1.8625037977110008,1401.8701930528828,0.0426494307554176,87.67057005516094,24.96964710495125,53.2538491353385,102.031,5.4,False,d12c3eca562b48858f7abadc878d6ece97f16a272be705cafc2dca40644a2f52,elite
e5.4_f113,5.4,113,ga80,N1_N2,3,,640.443612923268,1.4492038062297017,1.517120533365362,1.8578647987935304,1413.5121301464487,0.0442234813818053,87.10843855247228,25.000975485786828,53.32066453163386,102.031,5.4,False,9ac065602becd1fbb9e2801c5494c1ea82bdbc1378dddb24c9c8f31de614e629,elite
e5.4_f113,5.4,113,ga80,N1_N2,4,,640.7635393916681,1.5905073736492126,1.5191724559107476,1.8565489920680447,1404.0432802100893,0.0434519384258548,86.50181462016897,25.01346444442788,53.34730027528424,102.031,5.4,False,64b757a7a5acdccd5449af607416d684e1608a0ed3ece0a6f78a7f518ada00e3,elite
e5.4_f113,5.4,113,ga80,N1_N2,5,,640.8556635864167,1.6528817735874866,1.5197342516384755,1.858628626310185,1409.682505292856,0.0437016607656146,86.69390899376033,25.017060693477887,53.35497015157673,102.031,5.4,False,0a60cc3ebc64dc519fb9d607553ad1f7779f5f283c78a5efc25a4d9cf9ee0a30,elite
e5.4_f113,5.4,113,ga80,N1_N2,6,,640.9120573561825,1.7206930138993086,1.5220841022320537,1.863990855471076,1405.3986144278,0.0432907600665052,87.36552937052961,25.019262135145844,53.35966526168273,102.031,5.4,False,68f8de556d9b553ce66d403c840a3e5733f0003c49f51b4405a89702460b3458,elite
e5.4_f113,5.4,113,ga80,N1_N2,7,knee,641.7741099318199,1.8237321807648597,1.5233852083147443,1.873235621024829,1412.884544020057,0.0424046230306245,87.76521226615245,25.05291405215474,53.43143616433002,102.031,5.4,False,339e305122d77cbe8333488c44af92048d35df75ca7b35f4051674f5f5046b5d,elite
e5.4_f113,5.4,113,ga80,N1_N2,8,,641.8367340062276,1.7081926472212452,1.5343989862969143,1.8917352954628452,1397.365222615957,0.0446809526643168,87.25226437236783,25.05535870601262,53.43664998361983,102.031,5.4,False,bba7ee30f58455828396cdb9bb7d8b4b7cee196cadd3c1a08014ac2837d3321c,guided
