d,n,gam,gam_abs,target
8,13208,0.24230733582877598,266.89069879618415,cbc_max
9,13172,0.2739503143377105,301.22213922335266,cbc_max
10,13128,0.29519824736652067,325.6008499961914,cbc_max
11,13234,0.3182334717725503,354.34612045111083,cbc_max
12,13051,0.33804394761683504,372.83387779480506,cbc_max
13,13140,0.34601174558832953,389.98271226407917,cbc_max
14,12752,0.380506861642784,425.86396501725227,cbc_max
15,12945,0.413325253242963,453.22835597528,cbc_max
16,12553,0.4439820908382233,479.4942979247989,cbc_max
17,12614,0.45953188615917584,498.71093591247825,cbc_max
18,12648,0.475614113369208,523.0880926549653,cbc_max
19,12570,0.510344773191441,549.8685113365156,cbc_max
20,13036,0.5107973393467512,558.0634527845965,cbc_max
21,13004,0.5381223833292168,584.8215956820978,cbc_max
22,13320,0.5752620925415614,622.8981415277779,cbc_max
23,13512,0.6342933926728734,685.6898720137656,cbc_max
24,13672,0.6559856297622177,695.5687378583967,cbc_max
25,14161,0.7133508037651453,749.8958326495305,cbc_max
26,14611,0.7466408639196277,785.5808853706113,cbc_max
27,14639,0.7806973074370388,826.7024076849513,cbc_max
28,14862,0.8111448326799522,858.1672014600997,cbc_max
29,15346,0.8634589612546981,909.4106604554934,cbc_max
30,15840,0.8390342679666486,898.4864858996212,cbc_max
31,16390,0.832069922009696,897.438327123246,cbc_max
32,16900,0.8322899092243563,890.4810586656805,cbc_max
33,17269,0.8028686001402296,867.3428449360126,cbc_max
34,17056,0.7501379738600689,836.1405791275799,cbc_max
35,16967,0.749237734449261,854.9797907084342,cbc_max
36,16964,0.7355645718445367,875.9963018509787,cbc_max
37,17037,0.7188461395802269,915.2557557404473,cbc_max
38,17524,0.7760308588684885,1003.5872762211824,cbc_max
39,18254,0.7478406371896845,956.3223004601732,cbc_max
40,18368,0.7985293771263511,1028.9552303054227,cbc_max
41,19574,0.850930321795573,1101.8079624552981,cbc_max
42,19343,0.8235380762121931,1084.119424807424,cbc_max
43,22044,0.8881329422622133,1174.6680310651427,cbc_max
44,23327,0.8642951784226353,1143.9031502614996,cbc_max
45,21733,0.79463744383701,1094.5655137785857,cbc_max
46,21820,0.7878157867972975,1115.9367717552707,cbc_max
47,22643,0.7456960951309867,1054.518520098927,cbc_max
48,26571,0.7620567715087309,1106.743932016108,cbc_max
49,30199,0.6729189291374224,1038.741663626279,cbc_max
50,37769,0.7499042944040238,1237.4667281778707,cbc_max
51,47848,0.7325191033281163,1303.6872868385303,cbc_max
52,58720,0.8328387287251245,1541.9390814492506,cbc_max
53,76745,0.8402564565269843,1638.3250126373057,cbc_max
54,105228,0.8695555401602147,1755.908967205972,cbc_max
55,135817,0.9390392811681778,1960.4220503501037,cbc_max
56,177997,1.0331061631545402,2193.116128816216,cbc_max
57,215380,1.1104057780743448,2380.747869919445,cbc_max
58,248113,1.1110165602129336,2482.5641751653484,cbc_max
59,274125,1.1436810267252788,2598.4981377448244,cbc_max
60,282959,1.201418126916508,2758.2034691169038,cbc_max
61,254343,1.2259190617439315,2880.006361746146,cbc_max
62,218663,1.2037416087313006,2907.065444571784,cbc_max
63,153582,1.240305713817033,3080.623519744827,cbc_max
64,87085,1.2800022943499658,3309.6791058764425,cbc_max
65,39042,1.2893217167261466,3652.5493391834434,cbc_max
66,13671,1.2017274646919456,3670.410495366103,cbc_max
67,2851,1.4602807904408448,4511.886733865309,cbc_max
68,370,1.882658079244678,4953.317162567565,cbc_max
69,12,2.248173464276492,3312.392512499997,cbc_max
1,393,0.04507908939202938,0.5440518460559779,cyclen
2,4616,0.04810897797393278,0.649855269280762,cyclen
3,6130,0.08785899828546177,1.188492915252854,cyclen
4,12056,0.10381943388017852,1.3929400396068325,cyclen
5,18091,0.13741464079789917,1.7437313934276695,cyclen
6,20617,0.16435024916394775,2.082591285710821,cyclen
7,22622,0.1805536718870711,2.3399339725709476,cyclen
8,22985,0.20741116079036379,2.704021321470524,cyclen
9,23124,0.23177392012408413,2.9867221994897064,cyclen
10,23467,0.2478061472019338,3.19964792730217,cyclen
11,23723,0.26754743627065924,3.4755275941702153,cyclen
12,23995,0.28715452304312916,3.7386931204417606,cyclen
13,23919,0.32257771904814253,4.3132624944604725,cyclen
14,23587,0.3503849406185696,4.688086595942683,cyclen
15,23684,0.3755166491417214,5.082022896449083,cyclen
16,23607,0.39979145523142456,5.38734611852417,cyclen
17,23714,0.4270629821445676,5.7442799719996644,cyclen
18,23814,0.44462791448910116,6.027702673553373,cyclen
19,23564,0.4716453946876452,6.472237738287221,cyclen
20,24042,0.49208731219840474,6.726844098806262,cyclen
21,23913,0.5251332754370444,7.3579261408020775,cyclen
22,24223,0.5428699365928232,7.659683538599684,cyclen
23,24022,0.5733420581519465,8.250925571705109,cyclen
24,24055,0.605863463166446,8.813539579297446,cyclen
25,24566,0.6367994870620692,9.187323018134824,cyclen
26,25207,0.6715081531677857,9.835501501646371,cyclen
27,25454,0.6939264771398209,10.16325555270292,cyclen
28,26279,0.7040273549337723,10.311023148845091,cyclen
29,26899,0.7423624993609228,10.713234235380503,cyclen
