cell,zone,enrichment_segment,feed,n_batch,extrapolated,n_cores,n_pairs,n_feasible_db,e_real_mean,e_real_sd,bu_k1_mix_mean,EFPD_db_mean,EFPD_db_sd,EFPD_db_min,EFPD_db_max,B_c_db_mean,B_d_massbal_mean,B_d_reported_mean,massbal_dev_pct_mean,massbal_dev_pct_sd,F_r_db_min,CBC_max_db_max,lrmA_efpd,lrmA_bias,lrmA_rms,lrmB_efpd,lrmB_bias,lrmB_rms,lrmC_efpd,lrmC_bias,lrmC_rms,e_for_backbone,backbone_mean_efpd,backbone_ceil_efpd,backbone_mean_B_d,backbone_ceil_B_d,ceil_cyclen,ceil_B_cycle,ceil_B_d,min_pred_f_r,n_feasible,in_distribution,n_store_pair_feed,library_id,per_fa_tU,d_surrogate_minus_lrmceil_efpd,d_surrogate_minus_lrmceil_pct,d_surrogate_minus_lrmmean_efpd,d_surrogate_minus_dbmax_efpd,d_surrogate_minus_lrmceil_B_d,lrmA_a,lrmA_b,lrmB_a,lrmB_b,lrmB_alpha,lrmCeil_a,lrmCeil_b,lrmCeil_alpha,spr_gwd_per_efpd
e5.3_f117,db_and_mesh,5.3,117,2.059829,False,266.0,3.0,262.0,5.314154,0.017934,41.691824,656.687218,3.124122,648.5,661.3,25.635201,52.804132,53.095827,-0.531514,1.449085,1.5277,1417.7,658.390638,1.70342,2.395436,657.958424,1.271206,2.110011,657.771923,1.084705,1.948047,5.314154,657.958424,662.219665,52.906349,53.248995,649.292714,25.346541,52.209541,1.557521,0.0,False,245.0,ga80,0.42337,-12.926951,-1.952064,-8.66571,-12.007286,-1.039454,-0.858023,7.560831,-14.854288,126.132069,1.003856,3.369285,122.239281,1.014169,0.039037
e5.3_f121,db_and_mesh,5.3,121,1.991736,False,102.0,3.0,99.0,5.307206,0.021328,41.624096,666.736275,3.441356,659.9,671.2,26.027488,51.839872,52.160686,-0.615235,0.063692,1.5198,1444.7,672.476315,5.740041,5.917448,667.442059,0.705784,1.606436,667.150429,0.414155,1.325222,5.307206,667.442059,670.273024,51.894748,52.11486,668.314176,26.089084,51.962556,1.490953,302.0,True,78.0,ga80,0.42337,-1.958848,-0.292246,0.872118,-2.885824,-0.152304,-0.858023,7.560831,-14.854288,126.132069,1.019689,3.369285,122.239281,1.02784,0.039037
e5.4_f101,db_only,5.4,101,2.386139,False,204.0,2.0,204.0,5.425466,0.004258,42.690741,605.562745,2.27585,598.7,610.7,23.639447,56.406997,56.705049,-0.525636,0.058617,1.4958,1401.7,607.677753,2.115008,2.941344,604.674808,-0.887937,2.229291,604.857597,-0.705148,2.094974,5.425466,604.674808,608.43332,56.324288,56.674386,,,,,,,,,,,,,,,-0.858023,7.560831,-14.854288,126.132069,0.903213,3.369285,122.239281,0.912776,0.039037
e5.4_f105,db_and_mesh,5.4,105,2.295238,False,244.0,2.0,242.0,5.423418,0.005381,42.660964,622.768443,2.157394,617.9,627.6,24.311108,55.799782,56.097951,-0.531559,0.033949,1.5024,1445.1,624.20009,1.431647,2.196535,623.236958,0.468515,1.730819,623.093744,0.325302,1.490574,5.423418,623.236958,627.32828,55.841761,56.208342,611.84153,23.884553,54.820736,1.737234,0.0,False,17.0,ga80,0.42337,-15.48675,-2.468684,-11.395428,-15.75847,-1.387606,-0.858023,7.560831,-14.854288,126.132069,0.931299,3.369285,122.239281,0.941476,0.039037
e5.4_f109,db_and_mesh,5.4,109,2.211009,False,146.0,2.0,142.0,5.421801,0.003532,42.634786,648.289041,1.601729,643.9,649.9,25.30736,55.954805,56.266644,-0.554174,0.031416,1.538,1440.2,640.378636,-7.910405,8.019032,647.078793,-1.210248,1.785467,647.165641,-1.1234,1.685284,5.421801,647.078793,648.445658,55.850347,55.968323,633.875534,24.744698,54.710754,1.698412,0.0,False,122.0,ga80,0.42337,-14.570124,-2.246931,-13.203259,-16.024466,-1.257569,-0.858023,7.560831,-14.854288,126.132069,0.96722,3.369285,122.239281,0.973457,0.039037
e5.4_f113,db_and_mesh,5.4,113,2.132743,False,256.0,2.0,112.0,5.423324,0.003774,42.656028,661.067969,1.473794,656.7,663.8,25.806213,55.03803,55.299844,-0.473463,0.135104,1.5374,1481.3,656.565615,-4.502353,4.651499,660.553329,-0.514639,1.275194,660.817339,-0.250629,1.115616,5.423324,660.553329,662.717379,54.995183,55.175353,651.532527,25.433976,54.244145,1.622632,0.0,False,128.0,ga80,0.42337,-11.184852,-1.687726,-9.020802,-12.267473,-0.931209,-0.858023,7.560831,-14.854288,126.132069,0.987078,3.369285,122.239281,0.994604,0.039037
e5.4_f117,db_and_mesh,5.4,117,2.059829,False,175.0,2.0,171.0,5.423149,0.004338,42.652502,672.315429,2.113324,666.8,676.2,26.245282,54.060794,54.409543,-0.640949,0.059613,1.5221,1504.1,672.189032,-0.126396,1.78171,671.759131,-0.556297,1.862207,671.936957,-0.378472,1.676502,5.423149,671.759131,675.731848,54.016062,54.335508,668.513438,26.096863,53.755077,1.576839,0.0,False,217.0,ga80,0.42337,-7.21841,-1.068236,-3.245693,-7.686562,-0.580431,-0.858023,7.560831,-14.854288,126.132069,1.003856,3.369285,122.239281,1.014169,0.039037
e5.4_f121,db_and_mesh,5.4,121,1.991736,False,84.0,3.0,78.0,5.419821,0.004375,42.622715,682.079762,2.07636,676.7,685.9,26.626454,53.032854,53.372262,-0.636001,0.050567,1.5202,1499.3,687.057625,4.977863,5.231852,681.926161,-0.153601,1.620421,682.107532,0.02777,1.280514,5.419821,681.926161,684.422308,53.020911,53.214991,684.023606,26.702336,53.183991,1.509445,110.0,True,230.0,ga80,0.42337,-0.398702,-0.058254,2.097445,-1.876394,-0.031,-0.858023,7.560831,-14.854288,126.132069,1.019689,3.369285,122.239281,1.02784,0.039037
e5.5_f101,db_only,5.5,101,2.386139,False,183.0,2.0,180.0,5.509038,0.021747,43.418567,615.595628,3.202143,607.1,620.6,24.031102,57.341541,57.655082,-0.543926,0.048217,1.5104,1484.8,617.238249,1.64262,2.257152,614.195738,-1.39989,2.088814,614.509821,-1.085807,1.869644,5.509038,614.195738,617.758107,57.211144,57.542972,,,,,,,,,,,,,,,-0.858023,7.560831,-14.854288,126.132069,0.903213,3.369285,122.239281,0.912776,0.039037
e5.5_f105,db_and_mesh,5.5,105,2.295238,False,192.0,2.0,190.0,5.51526,0.019822,43.481621,634.045312,3.413061,627.9,639.6,24.751325,56.810185,57.109375,-0.523942,0.033571,1.511,1520.0,634.996459,0.951146,2.010164,634.025375,-0.019938,1.771645,634.31252,0.267208,1.66411,5.51526,634.025375,637.897996,56.808399,57.155384,626.086427,24.440633,56.097072,1.733501,0.0,False,31.0,ga80,0.42337,-11.811569,-1.851639,-7.938948,-13.513573,-1.058311,-0.858023,7.560831,-14.854288,126.132069,0.931299,3.369285,122.239281,0.941476,0.039037
e5.5_f109,db_and_mesh,5.5,109,2.211009,False,27.0,2.0,19.0,5.517963,0.012629,43.492105,660.87037,1.683132,656.3,662.1,25.798499,57.040719,57.365926,-0.566905,0.025769,1.5449,1490.8,651.979263,-8.891107,8.906195,658.810266,-2.060104,2.123748,659.345378,-1.524992,1.622865,5.517963,658.810266,659.888381,56.862908,56.955962,643.582247,25.12362,55.548555,1.705349,0.0,False,128.0,ga80,0.42337,-16.306134,-2.471044,-15.228019,-18.517753,-1.407407,-0.858023,7.560831,-14.854288,126.132069,0.96722,3.369285,122.239281,0.973457,0.039037
e5.5_f113,db_and_mesh,5.5,113,2.132743,False,77.0,2.0,22.0,5.497506,0.019262,43.30148,669.968831,2.798884,664.4,676.1,26.153677,55.779082,56.076883,-0.531112,0.029091,1.5401,1559.8,665.738305,-4.230526,4.473636,669.789184,-0.179647,1.465773,670.176208,0.207377,1.408479,5.497506,669.789184,671.736439,55.764125,55.926246,663.913092,25.917279,55.274904,1.626019,0.0,False,67.0,ga80,0.42337,-7.823347,-1.164645,-5.876092,-12.186908,-0.651342,-0.858023,7.560831,-14.854288,126.132069,0.987078,3.369285,122.239281,0.994604,0.039037
e5.5_f117,db_and_mesh,5.5,117,2.059829,False,120.0,2.0,119.0,5.484275,0.003943,43.158432,679.444167,1.945682,674.6,683.2,26.523568,54.634015,54.900333,-0.432088,2.583853,1.5204,1531.6,679.927469,0.483302,1.845109,679.498865,0.054699,1.781511,679.396812,-0.047355,1.644975,5.484275,679.498865,683.309771,54.638413,54.944848,686.05578,26.781666,55.165654,1.60084,0.0,False,144.0,ga80,0.42337,2.746009,0.401869,6.556915,2.85578,0.220806,-0.858023,7.560831,-14.854288,126.132069,1.003856,3.369285,122.239281,1.014169,0.039037
e5.5_f121,db_and_mesh,5.5,121,1.991736,False,75.0,3.0,70.0,5.50784,0.018818,43.385082,693.777333,3.52683,687.2,699.1,27.083094,53.94236,54.2896,-0.639749,0.049585,1.5168,1569.7,698.454151,4.676818,4.90508,693.246711,-0.530622,1.580251,693.526119,-0.251214,1.216115,5.50784,693.246711,695.48117,53.901103,54.074836,702.146105,27.409787,54.593046,1.552558,0.0,True,406.0,ga80,0.42337,6.664934,0.95832,8.899393,3.046105,0.51821,-0.858023,7.560831,-14.854288,126.132069,1.019689,3.369285,122.239281,1.02784,0.039037
e5.6_f105,mesh_only,5.6,105,2.295238,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.619206,646.235523,649.860623,57.902423,58.22723,642.365168,25.147832,57.720263,1.813766,0.0,False,0.0,paramA,0.42216,-7.495455,-1.153394,-3.870355,,-0.506967,-0.858023,7.560831,-14.854288,126.132069,0.931299,3.369285,122.239281,0.941476,0.039037
e5.6_f109,mesh_only,5.6,109,2.211009,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.619206,671.161672,671.935778,57.928976,57.995791,658.062514,25.762365,56.960825,1.782415,0.0,False,0.0,paramA,0.42216,-13.873264,-2.064671,-13.099158,,-1.034966,-0.858023,7.560831,-14.854288,126.132069,0.96722,3.369285,122.239281,0.973457,0.039037
e5.6_f113,mesh_only,5.6,113,2.132743,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.619206,684.941047,686.532642,57.025612,57.158122,673.421965,26.363669,56.22694,1.759687,0.0,False,0.0,paramA,0.42216,-13.110677,-1.909695,-11.519083,,-0.931182,-0.858023,7.560831,-14.854288,126.132069,0.987078,3.369285,122.239281,0.994604,0.039037
e5.6_f117,mesh_only,5.6,117,2.059829,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.619206,696.58363,700.037353,56.012197,56.289911,689.495552,26.992931,55.600823,1.755554,0.0,False,0.0,paramA,0.42216,-10.541802,-1.505891,-7.088078,,-0.689087,-0.858023,7.560831,-14.854288,126.132069,1.003856,3.369285,122.239281,1.014169,0.039037
e5.6_f121,mesh_only,5.6,121,1.991736,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.619206,707.570113,709.473469,55.014772,55.162761,708.323047,27.730005,55.230836,1.727362,0.0,True,0.0,paramA,0.42216,-1.150421,-0.162151,0.752935,,0.068075,-0.858023,7.560831,-14.854288,126.132069,1.019689,3.369285,122.239281,1.02784,0.039037
e5.7_f105,mesh_only,5.7,105,2.295238,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.719206,657.982188,661.369162,58.954919,59.25839,657.772678,25.654442,58.883052,1.874907,0.0,False,0.0,paramA,0.42375,-3.596485,-0.543794,-0.209511,,-0.375338,-0.858023,7.560831,-14.854288,126.132069,0.931299,3.369285,122.239281,0.941476,0.039037
e5.7_f109,mesh_only,5.7,109,2.211009,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.719206,683.361421,683.835251,58.981955,59.022852,679.966517,26.520046,58.636065,1.836783,0.0,False,0.0,paramA,0.42375,-3.868734,-0.565741,-3.394904,,-0.386788,-0.858023,7.560831,-14.854288,126.132069,0.96722,3.369285,122.239281,0.973457,0.039037
e5.7_f113,mesh_only,5.7,113,2.132743,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.719206,697.391265,698.690614,58.06217,58.170349,699.790259,27.293211,58.209415,1.806942,0.0,False,0.0,paramA,0.42375,1.099645,0.157387,2.398994,,0.039066,-0.858023,7.560831,-14.854288,126.132069,0.987078,3.369285,122.239281,0.994604,0.039037
e5.7_f117,mesh_only,5.7,117,2.059829,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.719206,709.245476,712.434484,57.030334,57.286762,713.113832,27.812857,57.289731,1.757575,0.0,False,0.0,paramA,0.42375,0.679348,0.095356,3.868356,,0.002969,-0.858023,7.560831,-14.854288,126.132069,1.003856,3.369285,122.239281,1.014169,0.039037
e5.7_f121,mesh_only,5.7,121,1.991736,True,,,,,,,,,,,,,,,,,,,,,,,,,,,5.719206,720.43166,722.037706,56.014779,56.139652,730.601794,28.494922,56.754349,1.732505,0.0,True,0.0,paramA,0.42375,8.564088,1.1861,10.170134,,0.614698,-0.858023,7.560831,-14.854288,126.132069,1.019689,3.369285,122.239281,1.02784,0.039037
