cell,move_class,fresh_radial_dir,n,n_F_xy,mean_F_xy,median_F_xy,improving_F_xy,n_F_r,mean_F_r,median_F_r,improving_F_r,n_node_peak,mean_node_peak,median_node_peak,improving_node_peak,n_cyclen,mean_cyclen,median_cyclen,improving_cyclen
HGD569_f125,fresh_relocate,inward,36,36,0.07961722222222221,0.052019999999999955,0.2777777777777778,36,0.046605555555555546,0.005150000000000078,0.4444444444444444,36,0.0180461015978144,-0.003940022012540855,0.5555555555555556,36,-0.08587222222221585,-0.5878999999999962,0.3055555555555556
HGD569_f125,fresh_relocate,outward,37,37,0.07660243243243242,0.045969999999999955,0.2972972972972973,37,0.03731621621621622,0.01839999999999995,0.35135135135135137,37,-0.0128940604813097,-0.013440048655668401,0.8108108108108109,37,-0.881251351351349,-0.7618999999999744,0.08108108108108109
HGD569_f125,rewire_swap,neutral,20,20,0.0,-0.016280000000000072,0.7,20,1.3877787807814458e-18,-0.016699999999999958,0.65,20,-6.938893903907229e-19,-0.01443997621269345,0.6,20,-1.3877787807814458e-18,-0.0684000000000026,0.25
N1N2_f113,batch_flip,neutral,20,20,-0.005354999999999976,-0.010519999999999974,0.65,20,-0.00646000000000001,-0.006550000000000023,0.7,20,-0.007159996032714844,-0.0052049636817748865,0.85,20,-0.436500000000001,-0.3588999999999999,0.0
N1N2_f113,batch_swap,neutral,40,40,0.007059999999999994,-0.005920000000000036,0.625,40,0.015587499999999987,0.0027000000000000687,0.475,40,0.02155250608921051,0.009894979023339835,0.475,40,-0.07382499999999369,-0.08490000000005579,0.375
N1N2_f113,fresh_relocate,inward,39,39,0.16873256410256413,0.20362999999999987,0.20512820512820512,39,0.11834871794871801,0.13900000000000004,0.1794871794871795,39,0.03631040194165148,0.007294964836114505,0.41025641025641024,39,-0.5433615384615299,0.2511000000000706,0.5384615384615384
N1N2_f113,fresh_relocate,outward,40,40,0.09656500000000003,0.04398000000000002,0.25,40,0.071055,0.030450000000000012,0.25,40,0.021085020899772645,0.002695035929412816,0.475,40,-1.62794999999999,-1.3104000000000098,0.1
N1N2_f113,rewire_swap,neutral,20,20,0.0,-0.006769999999999832,0.7,20,1.2143064331837649e-18,-0.005350000000000044,0.55,20,0.0,-0.007255005819635084,0.65,20,1.8041124150158794e-17,-0.09440000000000168,0.3
T6T4_f121,batch_flip,inward,11,9,-0.01048888888888887,-0.009188888888888816,0.6666666666666666,11,-0.004999999999999907,-0.0037999999999999597,0.6363636363636364,11,0.00563819137000394,0.005020004556755931,0.36363636363636365,11,-2.084645454545437,-2.154099999999994,0.0
T6T4_f121,batch_flip,outward,9,9,0.03848888888888897,0.01531111111111115,0.3333333333333333,9,0.03169999999999998,-0.009100000000000042,0.5555555555555556,9,0.03007557194032396,-0.003079909120868595,0.5555555555555556,9,1.4746777777777702,1.8908999999999652,0.8888888888888888
T6T4_f121,batch_swap,inward,19,17,0.1002228758169935,0.09371111111111118,0.17647058823529413,19,0.06019473684210527,0.046600000000000044,0.21052631578947367,19,0.02874632979494728,-0.0020799815809393156,0.5263157894736842,19,0.05390000000001787,0.020899999999960527,0.5789473684210527
T6T4_f121,batch_swap,outward,20,18,0.04733888888888893,0.03876111111111112,0.16666666666666666,20,0.04276000000000004,0.04314999999999998,0.15,20,0.029234999418258655,0.03702000973120061,0.15,20,-0.022299999999995646,-0.07509999999998626,0.4
T6T4_f121,fresh_relocate,inward,40,36,0.12128055555555556,0.07491111111111125,0.08333333333333333,40,0.09075250000000004,0.06585000000000003,0.05,40,0.04257000684738159,0.03132001760244689,0.2,40,0.023724999999998907,0.11990000000000692,0.625
T6T4_f121,fresh_relocate,outward,40,36,0.1325027777777778,0.11211111111111115,0.16666666666666666,40,0.10405500000000001,0.10629999999999991,0.15,40,0.05804000198841095,0.04771999714414003,0.225,40,-0.49339999999999123,-0.5540999999999713,0.35
T6T4_f121,rewire_swap,neutral,20,18,-1.5419764230904951e-18,-0.025688888888888775,0.7222222222222222,20,3.4694469519536144e-19,-0.015200000000000036,0.75,20,-1.7347234759768072e-19,-0.009029942759692999,0.8,20,-1.3877787807814457e-17,-0.08360000000001264,0.4
