case_pair,feed,slot,row,col,orbit_class,multiplicity,radius,periphery,diagonal_slot,p_orig,p_tp_detransposed,d
J1_J2,121,42,4,6,interior,4,7.211102550927978,False,False,1.0140999555587769,1.0151000022888184,-0.001000046730041504
J1_J2,121,43,4,7,interior,4,8.06225774829855,True,False,0.6297000050544739,0.6305999755859375,-0.000899970531463623
J1_J2,121,44,5,0,vertical_axis,2,5.0,False,False,1.3264000415802002,1.3257999420166016,0.0006000995635986328
J1_J2,121,45,5,1,interior,4,5.0990195135927845,False,False,1.2811000347137451,1.2663999795913696,0.014700055122375488
J1_J2,121,46,5,2,interior,4,5.385164807134504,False,False,1.2412999868392944,1.2343000173568726,0.006999969482421875
J1_J2,121,47,5,3,interior,4,5.830951894845301,False,False,1.1115000247955322,1.107699990272522,0.003800034523010254
J1_J2,121,48,5,4,interior,4,6.4031242374328485,False,False,1.2416000366210938,1.2390999794006348,0.0025000572204589844
J1_J2,121,49,5,5,interior,4,7.0710678118654755,False,True,1.0389000177383423,1.0378999710083008,0.001000046730041504
J1_J2,121,50,5,6,interior,4,7.810249675906654,False,False,0.800000011920929,0.7997999787330627,0.00020003318786621094
J1_J2,121,51,5,7,interior,4,8.602325267042627,True,False,0.39430001378059387,0.3944000005722046,-9.998679161071777e-05
J1_J2,121,52,6,0,vertical_axis,2,6.0,False,False,1.2379000186920166,1.239799976348877,-0.0018999576568603516
J1_J2,121,53,6,1,interior,4,6.082762530298219,False,False,1.114400029182434,1.1022000312805176,0.012199997901916504
J1_J2,121,54,6,2,interior,4,6.324555320336759,False,False,1.1865999698638916,1.1790000200271606,0.007599949836730957
J1_J2,121,55,6,3,interior,4,6.708203932499369,False,False,1.15910005569458,1.1541999578475952,0.004900097846984863
J1_J2,121,56,6,4,interior,4,7.211102550927978,False,False,1.0348999500274658,1.0318000316619873,0.0030999183654785156
J1_J2,121,57,6,5,interior,4,7.810249675906654,False,False,0.7814000248908997,0.7799000144004822,0.0015000104904174805
J1_J2,121,58,6,6,interior,4,8.48528137423857,True,True,0.4185999929904938,0.4180000126361847,0.000599980354309082
J1_J2,121,59,7,0,vertical_axis,2,7.0,False,False,1.044600009918213,1.0505000352859497,-0.005900025367736816
J1_J2,121,60,7,1,interior,4,7.0710678118654755,False,False,0.9315999746322632,0.9284999966621399,0.003099977970123291
J1_J2,121,61,7,2,interior,4,7.280109889280518,False,False,0.95660001039505,0.9517999887466431,0.004800021648406982
J1_J2,121,62,7,3,interior,4,7.615773105863909,False,False,0.8325999975204468,0.8288999795913696,0.0037000179290771484
J1_J2,121,63,7,4,interior,4,8.06225774829855,True,False,0.6123999953269958,0.6101999878883362,0.002200007438659668
J1_J2,121,64,7,5,interior,4,8.602325267042627,True,False,0.3172000050544739,0.31630000472068787,0.0009000003337860107
J1_J2,121,65,8,0,vertical_axis,2,8.0,True,False,0.5819000005722046,0.5837000012397766,-0.0018000006675720215
J1_J2,121,66,8,1,interior,4,8.06225774829855,True,False,0.5600000023841858,0.5593000054359436,0.0006999969482421875
J1_J2,121,67,8,2,interior,4,8.246211251235321,True,False,0.4708000123500824,0.4690000116825104,0.0018000006675720215
J1_J2,121,68,8,3,interior,4,8.54400374531753,True,False,0.30880001187324524,0.30709999799728394,0.0017000138759613037
E3_E4,141,0,0,0,center,1,0.0,False,True,2.09660005569458,2.095099925994873,0.0015001296997070312
E3_E4,141,1,0,1,horizontal_axis,2,1.0,False,False,1.9362000226974487,1.9348000288009644,0.001399993896484375
E3_E4,141,2,0,2,horizontal_axis,2,2.0,False,False,1.8945000171661377,1.8937000036239624,0.000800013542175293
E3_E4,141,3,0,3,horizontal_axis,2,3.0,False,False,1.9253000020980835,1.9264999628067017,-0.001199960708618164
E3_E4,141,4,0,4,horizontal_axis,2,4.0,False,False,1.6654000282287598,1.6705000400543213,-0.0051000118255615234
E3_E4,141,5,0,5,horizontal_axis,2,5.0,False,False,0.9577000141143799,0.9629999995231628,-0.005299985408782959
E3_E4,141,6,0,6,horizontal_axis,2,6.0,False,False,0.6765999794006348,0.6761999726295471,0.0004000067710876465
E3_E4,141,7,0,7,horizontal_axis,2,7.0,False,False,0.7077999711036682,0.70660001039505,0.001199960708618164
E3_E4,141,8,0,8,horizontal_axis,2,8.0,True,False,0.423799991607666,0.42329999804496765,0.0004999935626983643
E3_E4,141,9,1,0,vertical_axis,2,1.0,False,False,1.9362000226974487,1.9348000288009644,0.001399993896484375
E3_E4,141,10,1,1,interior,4,1.4142135623730951,False,True,1.9358999729156494,1.9347000122070312,0.001199960708618164
E3_E4,141,11,1,2,interior,4,2.23606797749979,False,False,2.0785000324249268,2.075700044631958,0.00279998779296875
E3_E4,141,12,1,3,interior,4,3.1622776601683795,False,False,1.704800009727478,1.7041000127792358,0.0006999969482421875
E3_E4,141,13,1,4,interior,4,4.123105625617661,False,False,1.6899000406265259,1.6934000253677368,-0.0034999847412109375
E3_E4,141,14,1,5,interior,4,5.0990195135927845,False,False,1.1568000316619873,1.1612000465393066,-0.004400014877319336
E3_E4,141,15,1,6,interior,4,6.082762530298219,False,False,0.7336999773979187,0.7355999946594238,-0.001900017261505127
E3_E4,141,16,1,7,interior,4,7.0710678118654755,False,False,0.7020000219345093,0.7024999856948853,-0.0004999637603759766
E3_E4,141,17,1,8,interior,4,8.06225774829855,True,False,0.4219000041484833,0.42179998755455017,0.00010001659393310547
E3_E4,141,18,2,0,vertical_axis,2,2.0,False,False,1.8945000171661377,1.8937000036239624,0.000800013542175293
E3_E4,141,19,2,1,interior,4,2.23606797749979,False,False,1.863800048828125,1.8651000261306763,-0.0012999773025512695
E3_E4,141,20,2,2,interior,4,2.8284271247461903,False,True,2.024399995803833,2.0239999294281006,0.0004000663757324219
E3_E4,141,21,2,3,interior,4,3.605551275463989,False,False,1.7129000425338745,1.7125999927520752,0.0003000497817993164
E3_E4,141,22,2,4,interior,4,4.47213595499958,False,False,1.541100025177002,1.542099952697754,-0.0009999275207519531
E3_E4,141,23,2,5,interior,4,5.385164807134504,False,False,1.108199954032898,1.1096999645233154,-0.0015000104904174805
E3_E4,141,24,2,6,interior,4,6.324555320336759,False,False,0.8125,0.8133999705314636,-0.000899970531463623
E3_E4,141,25,2,7,interior,4,7.280109889280518,False,False,0.5145000219345093,0.5148000121116638,-0.000299990177154541
E3_E4,141,26,2,8,interior,4,8.246211251235321,True,False,0.3531999886035919,0.353300005197525,-0.00010001659393310547
E3_E4,141,27,3,0,vertical_axis,2,3.0,False,False,1.9253000020980835,1.9264999628067017,-0.001199960708618164
E3_E4,141,28,3,1,interior,4,3.1622776601683795,False,False,1.5429999828338623,1.5440000295639038,-0.001000046730041504
E3_E4,141,29,3,2,interior,4,3.605551275463989,False,False,1.823699951171875,1.8238999843597412,-0.00020003318786621094
E3_E4,141,30,3,3,interior,4,4.242640687119285,False,True,1.5643999576568604,1.5641000270843506,0.0002999305725097656
E3_E4,141,31,3,4,interior,4,5.0,False,False,1.0383000373840332,1.0377999544143677,0.0005000829696655273
E3_E4,141,32,3,5,interior,4,5.830951894845301,False,False,0.8648999929428101,0.8648999929428101,0.0
E3_E4,141,33,3,6,interior,4,6.708203932499369,False,False,0.7930999994277954,0.7932000160217285,-0.00010001659393310547
E3_E4,141,34,3,7,interior,4,7.615773105863909,False,False,0.5834000110626221,0.5835000276565552,-0.00010001659393310547
E3_E4,141,35,3,8,interior,4,8.54400374531753,True,False,0.24240000545978546,0.24240000545978546,0.0
E3_E4,141,36,4,0,vertical_axis,2,4.0,False,False,1.6654000282287598,1.6705000400543213,-0.0051000118255615234
E3_E4,141,37,4,1,interior,4,4.123105625617661,False,False,1.3765000104904175,1.378100037574768,-0.001600027084350586
E3_E4,141,38,4,2,interior,4,4.47213595499958,False,False,1.6640000343322754,1.6641000509262085,-0.00010001659393310547
E3_E4,141,39,4,3,interior,4,5.0,False,False,1.5220999717712402,1.5216000080108643,0.0004999637603759766
E3_E4,141,40,4,4,interior,4,5.656854249492381,False,True,1.2318999767303467,1.2311999797821045,0.0006999969482421875
E3_E4,141,41,4,5,interior,4,6.4031242374328485,False,False,0.996399998664856,0.9958000183105469,0.000599980354309082
E3_E4,141,42,4,6,interior,4,7.211102550927978,False,False,0.7753999829292297,0.7749999761581421,0.0004000067710876465
E3_E4,141,43,4,7,interior,4,8.06225774829855,True,False,0.4487999975681305,0.4487000107765198,9.998679161071777e-05
E3_E4,141,44,5,0,vertical_axis,2,5.0,False,False,0.9577000141143799,0.9629999995231628,-0.005299985408782959
E3_E4,141,45,5,1,interior,4,5.0990195135927845,False,False,1.1476999521255493,1.1471999883651733,0.0004999637603759766
