table,tag,n,rho,r,mae,rmse,bias,med_ae,p90,p95,p99,maxae,le2,le5,le10,le20,fold,variant,cells,med_rho,q1,q3,worst,med_mae,covered,mae_off,mae_on,bias_off,bias_on,rho_off,rho_on,le5_off,le5_on,le10_off,le10_on,band,cov,med_cell_rho,prior_mae,feed,bin,pred_mid,sd,n_act,n_pred,tp,fp,fn,precision,recall,target,med_miss,p90_miss,med_oracle,channel,model,med_cell_mae,top1,top3,pred1_in_true3,node_mae,node_bias,node_rmse,med_shape_rho,q1_shape_rho,q3_shape_rho,metric,true_sd,pred_sd,pairs,sign_acc,stratum,pkr_lo,pkr_hi,p_at_8,median,random,feature,global_rho,cell_rho,cov_lo,cov_hi,rho_cov,ci_lo,ci_hi,rho_cov_prev,rho_peak,delta_above_random,delta_acc75,acc_smallest_bin,n_smallest,med_ratio,med_sd_true,med_sd_pred,noise_to_signal
t2_p8,,,,,,,,,,,,,,,,,B legacy_val,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,champ,,,,,,,,,,,pkr,,,,,,,,0.53125,0.625,0.1303343305041148,,,,,,,,,,,,,,,,,,
t2_p8,,,,,,,,,,,,,,,,,B legacy_val,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,champ,,,,,,,,,,,peak,,,,,,,,0.5,0.5625,0.1303343305041148,,,,,,,,,,,,,,,,,,
t2_p8,,,,,,,,,,,,,,,,,B legacy_val,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,champ,,,,,,,,,,,cov,,,,,,,,0.59375,0.5625,0.1303343305041148,,,,,,,,,,,,,,,,,,
t2_p8,,,,,,,,,,,,,,,,,B legacy_val,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prev,,,,,,,,,,,pkr,,,,,,,,0.53125,0.625,0.1303343305041148,,,,,,,,,,,,,,,,,,
t2_p8,,,,,,,,,,,,,,,,,B legacy_val,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prev,,,,,,,,,,,peak,,,,,,,,0.5,0.5625,0.1303343305041148,,,,,,,,,,,,,,,,,,
t2_p8,,,,,,,,,,,,,,,,,B legacy_val,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,prev,,,,,,,,,,,cov,,,,,,,,0.59375,0.5625,0.1303343305041148,,,,,,,,,,,,,,,,,,
t2_frproxy,,505.0,,,,,,,,,,,,,,,C new_unseen,,24.0,,,,,,,,,,,,,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pred_peak,0.8048295626209012,0.6707537799359895,,,,,,,,,,,,,,,
t2_frproxy,,505.0,,,,,,,,,,,,,,,C new_unseen,,24.0,,,,,,,,,,,,,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pred_pkr,0.8752477053868898,0.6558823529411765,,,,,,,,,,,,,,,
t2_frproxy,,505.0,,,,,,,,,,,,,,,C new_unseen,,24.0,,,,,,,,,,,,,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pred_CoV,0.856170261693901,0.7107032286598851,,,,,,,,,,,,,,,
t2_frproxy,,505.0,,,,,,,,,,,,,,,C new_unseen,,24.0,,,,,,,,,,,,,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pred_top5,0.8851994811343094,0.6649350649350648,,,,,,,,,,,,,,,
t2_frproxy,,505.0,,,,,,,,,,,,,,,C new_unseen,,24.0,,,,,,,,,,,,,,,,,all,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scalar_F_r_head,0.8872032071917071,0.7086945304437564,,,,,,,,,,,,,,,
t2_frproxy,,173.0,,,,,,,,,,,,,,,C new_unseen,,12.0,,,,,,,,,,,,,,,,,F_r<1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pred_peak,0.0626537299354038,0.0093073593073592,,,,,,,,,,,,,,,
t2_frproxy,,173.0,,,,,,,,,,,,,,,C new_unseen,,12.0,,,,,,,,,,,,,,,,,F_r<1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pred_pkr,0.0132330147439633,-0.0424242424242424,,,,,,,,,,,,,,,
t2_frproxy,,173.0,,,,,,,,,,,,,,,C new_unseen,,12.0,,,,,,,,,,,,,,,,,F_r<1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pred_CoV,0.0279470517177878,0.0811688311688311,,,,,,,,,,,,,,,
t2_frproxy,,173.0,,,,,,,,,,,,,,,C new_unseen,,12.0,,,,,,,,,,,,,,,,,F_r<1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pred_top5,0.0269608624238818,0.1119047619047619,,,,,,,,,,,,,,,
t2_frproxy,,173.0,,,,,,,,,,,,,,,C new_unseen,,12.0,,,,,,,,,,,,,,,,,F_r<1.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scalar_F_r_head,0.1491591026994487,0.0786002439253213,,,,,,,,,,,,,,,
t2_frproxy,,207.0,,,,,,,,,,,,,,,C new_unseen,,12.0,,,,,,,,,,,,,,,,,F_r<1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pred_peak,0.130760064523525,0.0909090909090909,,,,,,,,,,,,,,,
t2_frproxy,,207.0,,,,,,,,,,,,,,,C new_unseen,,12.0,,,,,,,,,,,,,,,,,F_r<1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pred_pkr,0.1585767490550588,0.0874736374736374,,,,,,,,,,,,,,,
t2_frproxy,,207.0,,,,,,,,,,,,,,,C new_unseen,,12.0,,,,,,,,,,,,,,,,,F_r<1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pred_CoV,0.0977953992214423,0.1577922077922078,,,,,,,,,,,,,,,
