cell,record_id,parent_record_id,status,failure,child_f_r,child_cyclen,child_cbc_max,child_f_q,child_node_peak,child_f_xy,child_f_xya,fxy_sane,fxy_reason,parent_record_id_plan,move_class,fresh_radial_dir,burn_state,dose,pair_id,pair_role,stratum,move_tag,swap_span,swap_radius,source,d_fresh_enr_r_center,d_fresh_enr_mass,parent_f_r,parent_node_peak,parent_cyclen,parent_cbc_max,parent_f_xy,converged,d_f_r,d_cyclen,d_node_peak,d_f_xy
T6T4_f121,99f3b3c2d274f0426feb4dd29bfa7c959cfe3194bb4d0e8c06f35115e3a27264,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,converged,,1.6843,613.738,1247.3,2.1079,1.4004000425338745,1.8036,1.6248,True,,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,fresh_relocate,outward,once,0.0992084183,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09:fresh_relocate:1,outward,fresh_relocate|outward,fr:54->5,,,paid,0.0992084183,0.0,1.5186,1.34010005,616.16,1259.31,1.5648,True,0.16569999999999996,-2.421999999999912,0.060299992533874525,0.23880000000000012
T6T4_f121,973a7308dbfaf96725a4a5d29b295bbe338a0e5f51de3186b0a3e984b74aabb9,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,converged,,1.5542,615.762,1256.98,1.9464,1.320099949836731,1.6665,1.5126,True,,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,fresh_relocate,inward,once,0.0988320628,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09:fresh_relocate:1,inward,fresh_relocate|inward,fr:35->55,,,paid,-0.0988320628,0.0,1.5186,1.34010005,616.16,1259.31,1.5648,True,0.035600000000000076,-0.39800000000002456,-0.02000010016326903,0.10170000000000012
T6T4_f121,081b915ff004f0dc819f18aa6e57c176bb1019e8b5148394be3775d11732727d,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,converged,,1.6118,615.904,1261.27,2.0498,1.4228999614715576,1.6944,1.505,True,,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,rewire_swap,neutral,once,0.0,,neutral,rewire_swap|neutral,rw:5<->55,2.0827625303,5.0413812651,paid,0.0,0.0,1.5186,1.34010005,616.16,1259.31,1.5648,True,0.09319999999999995,-0.2559999999999718,0.08279991147155763,0.12959999999999994
T6T4_f121,e9f07a850c2072660419fd238746e903da20e45cbb32238e61be42fa42243827,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,converged,,1.512,614.173,1245.27,1.935,1.3344000577926636,1.603,1.4375,True,,dccbd9528cdfbabbff983890ed8334f8deec151f6c73f831ae8f49cc9b6bef09,batch_flip,inward,fresh,0.0036095826,,random_inward,batch_flip|inward,bf:7=T4,,,paid,-0.0036095826,-1.2016826154,1.5186,1.34010005,616.16,1259.31,1.5648,True,-0.006599999999999939,-1.9869999999999663,-0.005699992207336413,0.03820000000000001
T6T4_f121,c633f25bffb7b4c827cd375b913018b44488dba94d198e46f5d33e1cdb0a0832,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d,converged,,1.5658,617.015,1274.42,1.9599,1.3761999607086182,1.6205,1.4435,True,,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d,batch_swap,outward,fresh,0.0017353587,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d:batch_swap:0,outward,batch_swap|outward,bs:41<->49,,,paid,0.0017353587,-0.0,1.5316,1.3568999767,617.164,1281.54,1.5688,True,0.03420000000000001,-0.1490000000000009,0.0192999840086181,0.05170000000000008
T6T4_f121,db2267934131bb475c27212ad040623f8dedf0737a18bcf70ae2ac3c9598be65,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d,converged,,1.7018,617.6,1301.02,2.163,1.5052000284194946,1.8149,1.5986,True,,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d,batch_swap,inward,fresh,0.001807517,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d:batch_swap:0,inward,batch_swap|inward,bs:29<->39,,,paid,-0.001807517,-0.0,1.5316,1.3568999767,617.164,1281.54,1.5688,True,0.1701999999999999,0.43600000000003547,0.14830005171949456,0.24609999999999999
T6T4_f121,7206d48dbfcb576c6a1ee4a612afb70a300a2b45c00aa1c2ea267e89afb182ed,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d,converged,,1.6367,616.038,1270.72,2.0079,1.3526999950408936,1.7389,1.558,True,,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d,fresh_relocate,outward,once,0.0224498533,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d:fresh_relocate:0,outward,fresh_relocate|outward,fr:32->5,,,paid,0.0224498533,0.0,1.5316,1.3568999767,617.164,1281.54,1.5688,True,0.10509999999999997,-1.1259999999999764,-0.004199981659106511,0.17009999999999992
T6T4_f121,77a941337c00b99e73c0d16c43b27c5ce018c69e9775c48f926a6307c6311d24,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d,converged,,1.638,616.301,1287.03,2.0646,1.4431999921798706,1.7057,1.512,True,,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d,fresh_relocate,inward,once,0.0228573554,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d:fresh_relocate:0,inward,fresh_relocate|inward,fr:35->28,,,paid,-0.0228573554,0.0,1.5316,1.3568999767,617.164,1281.54,1.5688,True,0.10639999999999983,-0.8629999999999427,0.08630001547987054,0.13690000000000002
T6T4_f121,7fc1b15fbbfc965ba03879cf9d8fd7ca532bac1b99871255f7f2d5edd289d257,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d,converged,,1.6716,615.21,1271.38,2.1105,1.3918999433517456,1.8151,1.65,True,,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d,fresh_relocate,outward,once,0.0992084183,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d:fresh_relocate:1,outward,fresh_relocate|outward,fr:54->38,,,paid,0.0992084183,0.0,1.5316,1.3568999767,617.164,1281.54,1.5688,True,0.1399999999999999,-1.9539999999999509,0.03499996665174554,0.24629999999999996
T6T4_f121,7263b2787fe30022faf8a996410760a8ac64a0b6d5731a71369b6a37c1f5b995,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d,converged,,1.7773,617.509,1295.89,2.1919,1.520400047302246,1.898,1.705,True,,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d,fresh_relocate,inward,once,0.0987996661,3aab5600ed68d124227bc4c2fdf277a16507bf805294c1a3e0ecf4e42acc5c0d:fresh_relocate:1,inward,fresh_relocate|inward,fr:51->27,,,paid,-0.0987996661,0.0,1.5316,1.3568999767,617.164,1281.54,1.5688,True,0.24570000000000003,0.3450000000000273,0.16350007060224603,0.32919999999999994
