cell,n,rho,mae,bias,std_true,fold,rho_prior,mae_prior,rho_precal,mae_precal,cell_fitted
ebin5.40_f117,27,0.4377289377289378,4.182887164747892,3.520915709104147,5.0963425371937445,C new_unseen,0.1561315041456926,5.075117604322162,0.4035409035409035,4.86452593303973,True
ebin5.40_f121,47,0.8048103607770583,2.256924456590756,-1.7877478013981134,3.470935458154125,C new_unseen,0.0107813697644162,13.67045275740884,0.8048103607770583,1.944984085473619,True
ebin5.40_f125,29,0.72807881773399,4.155745023004772,-4.0488650713101055,4.927799469672088,C new_unseen,0.0635412206654656,18.72188544906063,0.72807881773399,3.182539121562278,True
ebin5.50_f113,26,0.6499145299145299,7.179731417656901,7.179731417656901,4.995027278588793,C new_unseen,0.196464416635848,3.923677701765139,0.6499145299145299,7.179731417656901,False
ebin5.50_f117,54,0.7257861635220124,2.1339782825969524,-0.9815432425074214,5.991077551943657,C new_unseen,-0.0390607009506448,12.66526709609448,0.7257861635220124,4.038053142075891,True
ebin5.50_f121,70,0.6728195258507567,2.1614211653686457,-1.036368766725127,4.011721096371538,C new_unseen,0.2569782150722699,20.54513123549026,0.6728195258507567,1.9465215533926477,True
ebin5.50_f125,40,0.6894934333958725,3.6782262692879497,-3.2878478514375105,4.557875999933437,C new_unseen,0.2941811251382802,27.897774999291794,0.6894934333958725,2.72424525380535,True
ebin5.50_f141,145,0.8661951525306829,7.113905493749838,-5.568512829139236,11.100935920489942,C new_unseen,-0.049872648510876,64.6321837062046,0.8661951525306829,7.075181443563527,True
5-5.25_f101,60,0.6576271186440679,3.875021287478277,0.975243884706534,7.32504796158687,A curr_val,-0.2039015663316574,64.27505069679427,0.7213114754098362,9.718167311340633,True
5-5.25_f109,60,0.7683801055848849,4.056316633662044,0.4009964423637314,8.642636345794596,A curr_val,0.1945302285151996,41.5691397577771,0.7683801055848849,7.672169641857308,True
5-5.25_f117,66,0.7213234526667364,4.097652638315636,0.8810274003065554,7.250265862772601,A curr_val,0.2072408622073294,19.543737129126413,0.7263751174198937,4.955707608858931,True
5-5.25_f125,59,0.8037989479836355,3.818520837102729,-0.2014840053646047,8.150467543501653,A curr_val,0.2938906877971108,13.144168413225133,0.8104617182933957,3.84659596704686,True
5-5.25_f133,32,0.8339442815249266,3.734547748960612,0.7931355135629907,8.903711924318415,A curr_val,0.2863953254532682,13.038205331455604,0.8405425219941348,3.8506454511099584,True
5-5.25_f141,30,0.7116796440489432,5.943702788524191,2.1172095085445486,10.536754942231672,A curr_val,-0.1741935483870967,20.18943085990472,0.7005561735261402,5.584823528113005,True
5.25-5.5_f101,30,0.8086763070077864,4.894878204783416,0.6853603678692821,9.224818488075044,A curr_val,0.6840992925942408,43.9820664592117,0.8157953281423804,7.858168756547903,True
5.25-5.5_f109,33,0.8509358288770055,4.750275244579053,0.7607547053724402,11.810773453908322,A curr_val,0.6276737967914439,24.563957639530926,0.9181149732620322,6.371024852220399,True
5.25-5.5_f117,33,0.974933155080214,2.2427018192363346,0.3853064265854541,10.363485065582209,A curr_val,0.6921277048038096,7.333498207782654,0.9669117647058824,4.74451527718765,True
5.25-5.5_f125,30,0.8620689655172413,3.183249398678398,-0.9291293355093028,7.709388946371618,A curr_val,0.3944352308003696,11.174267537292542,0.8522803114571746,3.066933607121795,True
5.25-5.5_f133,30,0.8994438264738599,4.872910120645653,0.1480755913387421,13.764752671934929,A curr_val,0.6969966629588431,23.279902862244807,0.8994438264738599,4.849239438487481,True
5.25-5.5_f141,30,0.8803114571746384,5.806363131295283,1.9292153068801137,14.230778048211954,A curr_val,0.7083565544331388,32.97222476628734,0.8803114571746384,5.909864119268533,True
5.5-5.75_f101,60,0.7174770769658241,4.557148107476952,1.7909085053246123,8.924503990379172,A curr_val,0.1877700755257427,37.84315845905073,0.7174770769658241,8.647962622491008,True
5.5-5.75_f109,60,0.6631286468463463,4.693455400841335,0.6371527808509067,7.163309733091499,A curr_val,0.1219952769869981,18.98675209861079,0.6631286468463463,7.610062703905023,True
5.5-5.75_f117,30,0.8580645161290322,2.77338019801914,0.0740939733290588,9.102111917432756,A curr_val,0.3893589470285879,7.569219021435079,0.8580645161290322,5.11756412335238,True
5.5-5.75_f125,60,0.7642678521811616,3.174987503518959,0.1593293711193591,6.898127141552041,A curr_val,0.267361403164444,18.615543519687684,0.7642678521811616,3.349074439243492,True
5.5-5.75_f133,30,0.928364849833148,3.401603436421351,0.0594404183977227,9.655488227029164,A curr_val,0.5028368036455183,34.95744235306641,0.928364849833148,3.403375926106423,True
5.5-5.75_f141,30,0.8375973303670745,3.5280624689328874,-0.3787323579290879,8.038752598735591,A curr_val,0.3988876529477196,50.22448659833188,0.8375973303670745,3.5138021837849123,True
5.75-6_f101,63,0.7921466973886329,8.278238291950217,7.709321636719663,9.76578575419436,A curr_val,0.6984709938658488,50.98856352553031,0.7921466973886329,8.278238291950217,False
5.75-6_f109,46,0.7946345975948196,6.722207312663109,6.1505586918242985,8.954299476749913,A curr_val,0.499953778656406,22.36040597167583,0.7946345975948196,6.722207312663109,False
5.75-6_f117,30,0.8478309232480534,3.812402883793224,3.4719379159952157,5.968726204718775,A curr_val,-0.0746769224677797,12.16620700532678,0.8478309232480534,3.812402883793224,False
5.75-6_f125,50,0.8355822328931573,4.693698474273062,1.2770897793606195,9.505472554442791,A curr_val,0.6628560724867647,24.68881030327235,0.8355822328931573,4.693698474273062,False
5.75-6_f133,60,0.867074187274243,4.7293317157581045,-0.8658926228271658,11.588380133494132,A curr_val,0.7147501850412709,33.09559642868873,0.867074187274243,4.7293317157581045,False
5.75-6_f141,30,0.6978865406006673,5.3352858427768295,-3.478003880679588,8.63699994104489,A curr_val,0.0808013480702788,63.59970928462492,0.6978865406006673,5.3352858427768295,False
6-6.25_f101,63,0.4242511520737327,9.251549482968146,8.757088456231333,7.770001292866167,A curr_val,0.0808718515876048,58.95930582450303,0.4242511520737327,9.251549482968146,False
6-6.25_f109,60,0.4874131703250904,7.335374755209873,5.757976890697085,7.775754632933183,A curr_val,-0.1518920561074288,32.691362967297344,0.4874131703250904,7.335374755209873,False
6-6.25_f117,30,0.8843159065628475,5.529109765294743,5.456900247359832,7.997433728045678,A curr_val,0.605473980276971,38.45887872419704,0.8843159065628475,5.529109765294743,False
6-6.25_f125,30,0.6444938820912125,4.287370167204552,0.0836198316769127,7.241742606059252,A curr_val,0.2686700471648116,47.05198992337806,0.6444938820912125,4.287370167204552,False
