lo,hi,n,acc,se,fold,target,unit
0.02,0.05,18434,0.6061625257676033,0.003598680322132,B legacy_val,F_q,
0.05,0.1,28445,0.694568465459659,0.0027309358516307,B legacy_val,F_q,
0.1,0.2,47914,0.8167341486830572,0.001767461315791,B legacy_val,F_q,
0.2,inf,112697,0.9646396975962092,0.0005501541239758,B legacy_val,F_q,
0.0,5.0,8414,0.5225814119324934,0.0054453448326494,B legacy_val,CBC_max,ppm
5.0,10.0,8039,0.5729568354272919,0.0055169090646953,B legacy_val,CBC_max,ppm
10.0,25.0,20359,0.6462006974802299,0.0033510736759264,B legacy_val,CBC_max,ppm
25.0,50.0,26688,0.768060551558753,0.0025836104083205,B legacy_val,CBC_max,ppm
50.0,100.0,25069,0.8678048585902908,0.0021391945346101,B legacy_val,CBC_max,ppm
100.0,inf,12155,0.8253393665158371,0.0034437872520224,B legacy_val,CBC_max,ppm
0.0,0.25,23327,0.5163115702833626,0.00327197015357,B legacy_val,max_asm_BU,GWd/t
0.25,0.5,20803,0.5816468778541557,0.0034200954227758,B legacy_val,max_asm_BU,GWd/t
0.5,1.0,36765,0.6371549027607779,0.0025076438706127,B legacy_val,max_asm_BU,GWd/t
1.0,2.0,60879,0.772663808538248,0.0016986183843159,B legacy_val,max_asm_BU,GWd/t
2.0,5.0,72572,0.898252769663231,0.001122214910155,B legacy_val,max_asm_BU,GWd/t
5.0,inf,5928,0.9964574898785424,0.0007716686206552,B legacy_val,max_asm_BU,GWd/t
0.0,0.02,11012,0.5315110788231021,0.0047552430763872,B legacy_val,node_peak,
0.02,0.05,15425,0.6009724473257698,0.003942903395773,B legacy_val,node_peak,
0.05,0.1,20460,0.66930596285435,0.0032890669549453,B legacy_val,node_peak,
0.1,0.2,31229,0.7763617150725287,0.002357903858022,B legacy_val,node_peak,
0.2,0.5,18779,0.8683103466638266,0.0024676131972255,B legacy_val,node_peak,
0.5,inf,4322,0.995835261453031,0.0009795920233014,B legacy_val,node_peak,
0.0,0.005,7114,0.5215068878268203,0.0059225800479618,B legacy_val,map_CoV,
0.005,0.01,6571,0.5769289301476184,0.0060946965789646,B legacy_val,map_CoV,
0.01,0.02,12047,0.6619905370631692,0.0043097379595691,B legacy_val,map_CoV,
0.02,0.05,29785,0.7922779922779922,0.00235061362827,B legacy_val,map_CoV,
0.05,0.1,30770,0.904582385440364,0.0016748448906047,B legacy_val,map_CoV,
0.1,inf,15292,0.9548783677739996,0.0016785500039704,B legacy_val,map_CoV,
