cell,wave,slot,record_id,converged,p_feas,pred_f_r,act_f_r,pred_cbc,act_cbc,pred_f_q,act_f_q,pred_cyclen,act_cyclen,pred_ao,act_ao
E1_E2_f121,2,control,879cb90234281c6041f1c0d0a95cdfe130dc98e9515116756432678b60906ed1,True,0.0,2.3656,3.2206,1439.2917,1427.4,3.0161,4.4235,631.8635,627.709,0.0268,0.0158
E1_E2_f121,3,exploit,4158055decc12d58135f4d220d298e5b6ba627bba7d28ccfb20e05c1787f00f6,True,0.5825,1.5433,1.6381,1198.446,1229.35,1.9671,2.0622,631.4611,628.365,0.0404,0.0435
E1_E2_f121,3,exploit,e6a205fd8e4b73d96c25f63f5fbf6d1012fd8e1bde2e2b88cf2097cffd9afd09,True,0.6803,1.5349,1.7258,1251.7259,1292.04,1.9585,2.1984,631.5415,629.622,0.0407,0.0455
E1_E2_f121,3,exploit,f64b4687f2dae4a16cd0386f072c5723381bf5b21bd95a3e497c3b5bfd4272a9,True,0.5565,1.5454,1.7026,1272.0168,1281.16,1.9758,2.1785,632.4105,631.215,0.0369,0.0408
E1_E2_f121,3,exploit,0904efc3de7ee73659e971d5e72667df101288e44692c4bfa56369f5188558fd,True,0.526,1.5479,1.6968,1260.2867,1285.64,1.9643,2.1609,632.0288,629.778,0.0411,0.0451
E1_E2_f121,3,exploit,f81088b0013804c6d9af7ef74d8599a20cd828c55f3e18d219065727e65df1b0,True,0.5108,1.5491,1.7526,1297.4935,1311.42,1.9952,2.1874,633.9898,633.502,0.0339,0.0386
E1_E2_f121,3,explore,6f1d49f177d52cf7c739d6b66b0513cfe9762da55b3ebb130bbb35fb53ec5612,True,0.2019,1.5768,1.8253,1279.2438,1290.19,2.0396,2.2972,632.2647,630.951,0.0396,0.0395
E1_E2_f121,3,explore,beb27ad550a766c6aa4cf5c1408eb9d1c8b8b6fa06386926f45200b94a1cf5bb,True,0.4145,1.5569,1.7976,1342.0764,1380.16,1.969,2.2625,633.5522,628.904,0.0336,0.0373
E1_E2_f121,3,control,bee5abe49739c1a16bd5184bd92a25412ba38890c3865e71bb7c54d65c28fb3a,True,0.0,1.7593,1.9453,1331.025,1348.66,2.2809,2.5725,631.83,626.759,0.0499,0.0528
E1_E2_f121,4,exploit,63dca88acd19fff061edc86c5a2d9894a15f851310fb017831b1e520bbf76cdd,True,0.4916,1.5507,1.6867,1224.4541,1248.92,1.955,2.091,631.5959,630.394,0.0353,0.0385
E1_E2_f121,4,exploit,7bdaf926d38a17ad3f6866cf64d8b94cbfad1d22dbdf7d1cc9b3b0f791d2ead9,True,0.25,1.5717,1.8059,1283.7666,1339.06,2.0057,2.2991,636.683,641.655,0.0364,0.0369
E1_E2_f121,4,exploit,809a68a8e701652b6bb5e9afb9a057f34262b239701e5f668df4067384cd82c8,True,0.2165,1.5752,1.7683,1292.0934,1331.71,2.0034,2.2307,633.8892,639.329,0.0352,0.0373
E1_E2_f121,4,exploit,22897c1989cd68193da13ebc5365b687eaddaee29b6d298be65dd1918cdbaeb5,True,0.2231,1.5745,1.7121,1263.0075,1310.54,2.0146,2.1628,635.5874,640.095,0.0376,0.0394
E1_E2_f121,4,exploit,a92a61a2e9968ecf4d293ebfcc7b7e44e84ef50177d998f57224feb6c260ff09,True,0.2019,1.5769,1.7047,1237.5053,1261.7,1.9961,2.1298,630.9703,631.849,0.0338,0.0363
E1_E2_f121,4,explore,54ca700ce395da1b47bb518b8640ff757139e9baca399bdebbf06c6766a663dd,True,0.1834,1.579,1.7358,1295.8471,1367.46,2.0055,2.1854,632.7155,633.022,0.0337,0.0312
E1_E2_f121,4,explore,187ffee1429e43f055233bde4dd81eee95030a8adf5ed840aad48f5bfa25d972,True,0.1604,1.5819,1.8768,1291.3164,1328.11,2.011,2.3823,636.6718,640.137,0.0363,0.0368
E1_E2_f121,4,control,ca925b4d1f254a9873d09b4dd63d6fe9cd1f6d98a8e4606bfc39b2af85a47a18,True,0.0,1.9664,2.3121,1278.3583,1332.52,2.5594,3.0507,624.0829,625.337,0.0494,0.0543
E1_E2_f125,0,exploit,bec2cd7d9c0c921ebba8b63e3918acf5a5891aff1a490ce5dc7ca63920c7a321,True,0.0,1.7533,1.7157,1298.0112,1280.45,2.0346,2.1834,639.8832,632.841,0.0368,0.0318
E1_E2_f125,0,exploit,40ef7ad7a45209ba8a7b5619f4e73fd4ab2269b90d11908d78379c780d344297,True,0.0,1.761,1.822,1291.3341,1318.96,2.058,2.3471,637.4436,641.758,0.0344,0.0244
E1_E2_f125,0,exploit,c2632e7d74085b38b9bed47a63ce3147686b3c6d14b1189c7d49006fc6c6b4cd,True,0.0,1.7755,1.8309,1289.53,1311.81,2.0759,2.3621,637.7882,642.013,0.0352,0.0282
E1_E2_f125,0,exploit,d8e5904e8766cf9dfd5c1fa42ff605b320c0442c21961030330e5c1b1b768f8f,True,0.0,1.7799,1.6567,1339.4348,1327.31,2.0591,2.0924,641.2453,644.465,0.0355,0.0315
E1_E2_f125,0,exploit,a0cd4ddbf31d21efa71d396f9fcbecacecf20675bc31558a1d20f008ac3ecf3a,True,0.0,1.7861,1.6821,1263.5148,1227.45,2.084,2.1261,641.437,642.376,0.0414,0.0458
E1_E2_f125,0,explore,bdecbfbc9c7187e35d6b82184836062ba6d9e1fbc9aede0f36943971be5d2f16,True,0.0,3.5207,4.1511,1535.3382,1584.34,4.1973,6.3573,646.0833,646.365,0.0326,0.0454
E1_E2_f125,0,explore,1b3ad7eece323f6b224a96def7e538d8d1626c777a5124d14db0ed7834b3b7e1,False,0.0,3.0036,,1467.3251,,3.5723,,645.9354,,0.0304,
E1_E2_f125,0,control,1273fd453d06e23c56ea65d76d698731f2d98dcbfde9827359c5555829a23c3c,True,0.0,1.9994,2.3518,1285.8392,1266.29,2.3486,3.0992,640.4629,646.075,0.0376,0.0302
E1_E2_f125,1,exploit,4c85b9b0519dfaf1346069b186d3a43f7d98b7abad280a33e954aaee8b32c0c4,True,0.0,1.7339,1.772,1391.6063,1431.14,2.0136,2.2433,647.0078,646.568,0.0356,0.0266
E1_E2_f125,1,exploit,26334b38c656ec35e21391059716174ee3c7d9c393a5838e32bbf921ec3880d9,True,0.0,1.7534,1.8599,1276.9671,1282.07,2.0427,2.3578,638.2739,630.57,0.0379,0.0397
E1_E2_f125,1,exploit,19e17ba50edfcddd56c5b607fabbc7294cc2599349e3882c36217a943d739ead,True,0.0,1.7551,1.5947,1300.2324,1303.52,2.0301,1.9944,639.5718,632.606,0.0299,0.0366
E1_E2_f125,1,exploit,e291c4f7b9d53d98ea068c4fd619a8801f0eb359129d27e10668e87cc1bb5cd4,True,0.0,1.7552,1.7849,1287.2163,1312.45,2.054,2.2714,643.6111,642.958,0.0385,0.0387
E1_E2_f125,1,exploit,a8d6b391771e09d28c540949c8aadd92248746b7c5871b9e377345328b590954,True,0.0,1.762,1.6886,1348.6466,1343.96,2.0311,2.0884,643.6864,643.466,0.0328,0.034
E1_E2_f125,1,explore,8e97614239b7a129c6e974a2dd842b9054c74748ec6bf0bf7207663d81adea8d,False,0.0,3.9305,,1408.3588,,5.1329,,627.3772,,0.0556,
E1_E2_f125,1,explore,f289e0b5e2c762e3e1464aa95e01e1ddac8d44c34a1d8c06893808623c12f129,False,0.0,3.533,,1370.1557,,4.473,,628.321,,0.0665,
E1_E2_f125,1,control,7685e072610e102874809425817eb17512dffedd9e30bbe51ff3fc80c9fba332,False,0.0,2.3981,,1306.3818,,2.7758,,633.5938,,0.0584,
E1_E2_f125,2,exploit,8bcfc6d0b22797588635984dd1c1d973ccc033d554ab7a64fdbb50e4cac4aefe,True,0.0001,1.6712,1.6677,1286.8352,1276.42,1.9282,2.0437,639.0619,632.781,0.0323,0.0376
E1_E2_f125,2,exploit,ca7a796b4ad945aa937d4fad8abf04466ee0b633bb3be461c5165157b7bb8dd5,True,0.0001,1.6722,1.634,1305.6107,1314.15,1.9462,2.0609,642.1876,645.819,0.0321,0.0354
E1_E2_f125,2,exploit,6cf35357799da38949978d54783ae6596390c56febb358e20de8d9d631e4ad35,True,0.0,1.6761,1.6316,1289.4981,1274.97,1.9321,2.0417,639.5041,632.057,0.0331,0.0422
E1_E2_f125,2,exploit,8837d1ddef630fa962a22e24958b22c6e79d8a8bc6b76a80f31d300f73fb3a5d,True,0.0,1.6769,1.6247,1313.8445,1310.6,1.9257,2.0021,638.9276,633.47,0.0319,0.0352
E1_E2_f125,2,exploit,f3bd1b84d78dea96170f543bf4ec6ef503acf91a5fc371bc4c1a4d0ebb1f2b87,True,0.0,1.6805,1.6738,1293.1986,1283.73,1.9428,2.0664,640.8517,635.876,0.032,0.0393
E1_E2_f125,2,explore,4811d70d6f74cf82028562deaf859e551fb68fb95f864a16a1fad755051d3175,False,0.0,3.4418,,1305.0394,,4.4166,,628.2193,,0.0549,
E1_E2_f125,2,explore,a88bbe1ff3fa44efbac564030e32e1257a3531757e92a4a352452db93f59d761,False,0.0,3.6331,,1356.6758,,4.7145,,635.1379,,0.0494,
E1_E2_f125,2,control,554d11aadd81864224c1491a1ebdd251665cd44386a78381fe2532359e36463f,True,0.0,2.1253,2.2979,1424.0967,1460.27,2.4101,3.075,643.9752,648.146,0.0255,0.0456
E1_E2_f125,3,exploit,7781846ec0a6bfcaca3b8b1f49ab1e6aced56e6d7ac7a46f89cc8839537aef7b,True,0.0001,1.675,1.6096,1270.7142,1316.01,1.9433,2.003,639.2203,632.454,0.0334,0.0349
E1_E2_f125,3,exploit,f5a8028d5e0eb36c2852e97a594dbc9ce5d2b31b9a524f724fa6f7ef4ddcd3d0,True,0.0,1.6842,1.6305,1249.397,1271.78,1.9384,2.0474,637.4177,633.723,0.0352,0.0391
E1_E2_f125,3,exploit,829715737cc9dbc55da3e7862b9acbbedabc73b001b5028b731329f6985ec312,True,0.0,1.6858,1.6187,1267.9458,1308.66,1.9519,2.0183,639.4554,631.771,0.0341,0.0357
E1_E2_f125,3,exploit,0d4589d34b2ba38271f2939907c9dc3fd92577c29a3a8af99166a47167d34ecd,True,0.0,1.6873,1.625,1270.5386,1304.95,1.9511,2.007,638.6659,635.582,0.0356,0.0347
E1_E2_f125,3,exploit,c808e72379f59f5ead678e2faa46978a870e7f3d5458fc771c724a554e47272f,True,0.0,1.6884,1.649,1267.2828,1297.17,1.9527,2.0908,638.7188,633.285,0.036,0.0374
