digest16,work_dir,cycle_evidence,f_xy,f_xya,n_steps,sane,reason,efpd_max,key_source
33fabdddac7b63e1,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-40045d2c31-f977pao9_bc9ce7e2,final,2.4427,2.0573,31,1,,787.179,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-4db5f0a6fd-xvtx75ym_a52b0b82,no_mas_sum,,,0,0,,,
159bc864d44c5b24,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-56a0d4c3d5-8h2dqg07_ba93275d,final,4.4484,3.7476,32,0,above_ceiling,810.743,deck
6aee17e8bc9aab2c,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-7e7c742642-t4cwt_ku_91b98588,final,5.3527,4.6634,31,0,above_ceiling,799.639,deck
70819fb52c4c1fa2,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-88fbe54493-ttlmtsay_a28f6f67,final,2.2488,1.9172,32,1,,816.108,deck
2b2f8ef668f7d522,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-8cab3b554d-46qwrsgb_737aa573,final,2.0573,1.7402,31,1,,804.966,deck
d562d4b6d482d15c,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-8e26ced807-ihd9z3fz_30725b53,final,3.646,3.0539,31,0,above_ceiling,798.032,deck
e850b3f64f6e8472,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-9efcf343d8-icpa6d_4_6832d325,final,4.7193,3.9891,32,0,above_ceiling,814.968,deck
af0fee3bc3ee333a,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-c1c400e3b2-4qklr8wu_19fb834d,final,2.5442,2.1782,31,1,,804.995,deck
f8887f342326c0da,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-ed29c7d7dc-qdfhu1ko_63c33b4b,final,2.1422,1.8103,32,1,,810.767,deck
6898d3d10b894c16,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-eeaf49bcea-j24_2zqc_cb3d31d9,final,5.1645,4.3937,32,0,above_ceiling,815.581,deck
1109403665e76b59,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0746.3-f04b9d8429-2fi_y2ow_63ca6c63,final,2.4703,2.0931,31,1,,797.815,deck
eca19386aa0094f2,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0767.6-161a2185b7-_jdyed4q_1d82f0f9,final,2.6017,2.2521,31,1,,786.285,deck
a71b6fcead0ef3b5,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0767.6-27ad215ef5-sje09f77_e45602f6,final,2.1008,1.8204,30,1,,778.26,deck
702c286170060970,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0767.6-2b2d7fda89-2ncq9aoy_a8c6e3cf,final,2.515,2.1874,31,1,,784.364,deck
e31ad6277cfbe3e6,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0767.6-3ccdbd200a-ypakijft_30822d7b,final,4.2119,3.6902,31,0,above_ceiling,783.444,deck
77e8ef979e49f828,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0767.6-7fba604a54-tc3bpfk4_97b67705,final,2.6381,2.2348,30,1,,769.789,deck
b04826e19ca8924b,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0767.6-80cd10a1e6-mzoushw3_aef87bfc,final,2.2355,1.8543,31,1,,782.227,deck
2b665b947992fbba,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0767.6-83a5ca4345-032vln48_e4d01b9b,final,3.5988,3.1403,31,0,above_ceiling,782.068,deck
1023734695e2022c,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0767.6-88e5692b17-sfzhkqul_5364aa99,final,3.3255,2.4224,31,0,above_ceiling,781.28,deck
7a3a34059711a210,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0767.6-8de421ab81-w380z7u7_d5cd3bd4,final,2.302,1.9217,31,1,,789.362,deck
d904140d7623889e,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0767.6-98049ebb35-iinm4i9w_e9f9e587,final,2.2824,1.9352,31,1,,782.433,deck
c917ab0682daf673,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0767.6-d2d8e156b3-fhcgdeb0_27579d40,final,3.9176,3.2118,31,0,above_ceiling,790.986,deck
8c2df779d8ad772f,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0767.6-d636a57951-9mlo6q9p_375df6e3,final,4.0873,3.5584,30,0,above_ceiling,779.683,deck
7d6cfde0ab5f550c,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0790.2-0a300b3c22-429hif91_b176496e,final,3.9095,3.2827,32,0,above_ceiling,831.177,deck
226fd6348393042b,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0790.2-21e24799be-vn0hrt5u_d37b17de,final,5.1866,4.3824,33,0,above_ceiling,842.416,deck
e7f01d984260ac1c,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0790.2-34b762ad5e-jev9v9j8_ac40cce1,final,2.4464,2.0695,33,1,,842.852,deck
1f8cc90e1ab1407c,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0790.2-35935655ee-9wjjho0f_49471464,final,5.3568,4.5262,32,0,above_ceiling,838.724,deck
231e8bc03f5a56c1,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0790.2-650fad3b8b-fdlhyo3x_18382f2e,final,3.3022,2.7696,32,0,above_ceiling,830.38,deck
,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0790.2-7f9c8d702f-0v47_62d_a816fb02,no_mas_sum,,,0,0,,,
6ab50c2338633201,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0790.2-9428ef4f50-96jfchmt_07b9d1e3,final,2.3037,1.9492,33,1,,841.297,deck
a072d7da0be570b9,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0790.2-aa6bab097d-i7h44lbl_ed2694a0,final,3.3735,2.8556,32,0,above_ceiling,829.093,deck
fbcb14c38c7966f5,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0790.2-b0d06f296c-f8torzqp_d4c8cc5c,final,2.3261,1.9475,32,1,,827.563,deck
3aac2590ac6b50a0,..\2_LP\LOW_Fr_MASTER_result\srv198\kit_frontier_runs_d2_produce_r~_RST.APRQ_11_0790.2-b522a38929-_6t03bad_fe0196a7,final,3.7845,3.124,32,0,above_ceiling,833.465,deck
