pair,type1,type2,enrichment_segment,feed,split_bucket,split_lo,split_mean,split_min,split_max,n_cores,n_feasible,n_distinct_splits,realized_enrichment_mean,bu_k1_mix_mean,F_r_min,best_cid,best_split,best_n_type1,best_n_type2,best_EFPD,best_B_c,best_B_d,best_discharge_GWd,best_CBC_max,best_cbc_margin,best_F_q,best_AO_min,best_AO_max,best_pinmax_rodavg_GWd,best_pinmax_node_GWd,best_pinmax_known,best_rodavg_ge68,best_rodavg_ge75,best_node_ge68,best_node_ge75,best_F_r_campaign,best_CBC_max_campaign,best_metrics_source,best_eq_ok,best_ncyc,best_feasible_at_metrics,F_r_p10,F_r_median,EFPD_mean,EFPD_max,B_d_mean,CBC_max_max,cbc_margin_min,n_pinmax_known,pinmax_rodavg_min,pinmax_rodavg_mean,pinmax_node_min,pinmax_node_mean,frac_rodavg_ge62,frac_rodavg_ge68,frac_rodavg_ge75,frac_node_ge62,frac_node_ge68,frac_node_ge75,n_campaign_verified,F_r_campaign_min,EFPD_max_F_r,EFPD_max_B_d,EFPD_max_split,pkey,n_store_rows,n_store_valid,store_f_r_min,store_cyclen_max,n_store_rows_pair_all_feeds,store_gap_f_r,unexplored,novel_type
L3_L4,L3,L4,5.3,121,65-70,0.65,0.672176,0.661157,0.694215,3,3,2,5.328333,41.826795,1.5303,fee6bbdf42dd,0.661157,80,41,671.0,26.193931,52.171384,52.44,1443.7,76.3,1.9082,-0.0406,0.0089,66.08,71.98,True,False,False,True,False,1.5303,1443.7,equilibrium_ncyc12,True,9,True,1.5304,1.5308,671.066667,671.2,52.176567,1444.7,75.3,3,65.82,66.003333,71.72,71.933333,1.0,0.0,0.0,1.0,1.0,0.0,0,1.5303,1.5308,52.186934,0.694215,L3_L4,24,24,1.5217,669.9,863,-0.0086,True,False
L5_L6,L6,L5,5.3,121,50-55,0.5,0.536157,0.528926,0.53719,8,8,2,5.29425,41.55468,1.5376,a945886a597c,0.53719,65,56,665.4,25.975323,51.735974,52.08,1353.7,166.3,1.8988,-0.0513,0.0189,66.02,72.07,True,False,False,True,False,1.5378,1350.0,equilibrium_ncyc12,True,8,True,1.53788,1.54035,665.6875,667.7,51.758328,1390.1,129.9,8,66.02,66.3375,72.07,72.37,1.0,0.0,0.0,1.0,1.0,0.0,0,1.5378,1.5479,51.914803,0.528926,L5_L6,15,15,1.5075,667.4,822,-0.0301,True,False
L5_L6,L5,L6,5.3,121,55-60,0.55,0.578512,0.561983,0.595041,5,5,3,5.2964,41.578869,1.5402,109ca4295134,0.595041,72,49,668.5,26.096338,51.977005,52.3,1413.9,106.1,1.9206,-0.0474,0.0158,67.41,73.5,True,False,False,True,False,1.5413,1410.0,equilibrium_ncyc12,True,9,True,1.54028,1.5438,666.78,668.5,51.843272,1413.9,106.1,5,66.45,66.856,72.46,72.898,1.0,0.0,0.0,1.0,1.0,0.0,0,1.5413,1.5402,51.977005,0.595041,L5_L6,15,15,1.5075,667.4,822,-0.0327,True,False
L5_L6,L6,L5,5.3,121,60-65,0.6,0.603306,0.603306,0.603306,1,1,1,5.292,41.519565,1.5458,f40aa89a5077,0.603306,73,48,663.7,25.90896,51.603796,51.96,1331.2,188.8,1.9228,-0.0511,0.0196,66.56,72.63,True,False,False,True,False,1.5459,1327.6,equilibrium_ncyc12,True,8,True,1.5458,1.5458,663.7,663.7,51.603796,1331.2,188.8,1,66.56,66.56,72.63,72.63,1.0,0.0,0.0,1.0,1.0,0.0,0,1.5459,1.5458,51.603796,0.603306,L5_L6,15,15,1.5075,667.4,822,-0.0383,True,False
N1_N2,N1,N2,5.4,101,55-60,0.55,0.582411,0.554455,0.594059,17,17,2,5.417,42.582663,1.5223,2ae249875a45,0.594059,60,41,603.4,23.55502,56.205542,56.6,1353.8,206.2,1.8923,-0.0418,0.0238,76.86,83.51,True,True,True,True,True,1.5254,1356.0,equilibrium_ncyc12,True,9,True,1.52638,1.5371,603.6,604.2,56.224171,1360.7,199.3,17,76.76,77.698235,83.2,84.240588,1.0,1.0,1.0,1.0,1.0,1.0,0,1.5254,1.5259,56.28006,0.594059,N1_N2,140,87,1.7471,598.213,1600,0.2248,False,False
N1_N2,N1,N2,5.4,101,60-65,0.6,0.633663,0.633663,0.633663,24,24,1,5.418,42.60233,1.5238,47f661ddb568,0.633663,64,37,604.7,23.605768,56.326634,56.62,1365.5,194.5,1.8756,-0.0407,0.0274,78.56,85.66,True,True,True,True,True,1.5288,1369.0,equilibrium_ncyc12,True,8,True,1.52662,1.5325,604.1,604.8,56.270745,1370.0,190.0,24,76.38,77.752917,83.42,84.492917,1.0,1.0,1.0,1.0,1.0,1.0,0,1.5263,1.5262,56.335949,0.633663,N1_N2,140,87,1.7471,598.213,1600,0.2233,False,False
N1_N2,N1,N2,5.4,101,65-70,0.65,0.673267,0.673267,0.673267,1,1,1,5.419,42.617527,1.5251,c54a3668c4ea,0.673267,68,33,604.2,23.586249,56.28006,56.57,1371.4,188.6,1.8672,-0.0434,0.0321,77.83,84.57,True,True,True,True,True,1.5263,1374.4,equilibrium_ncyc12,True,8,True,1.5251,1.5251,604.2,604.2,56.28006,1371.4,188.6,1,77.83,77.83,84.57,84.57,1.0,1.0,1.0,1.0,1.0,1.0,0,1.5263,1.5251,56.28006,0.673267,N1_N2,140,87,1.7471,598.213,1600,0.222,False,False
N3_N4,N3,N4,5.4,101,50-55,0.5,0.514851,0.514851,0.514851,1,1,1,5.424,42.661606,1.5369,1390876f1e73,0.514851,52,49,602.4,23.515982,56.112394,56.51,1327.4,232.6,1.9245,-0.0434,0.0202,79.09,84.99,True,True,True,True,True,1.5376,1328.1,equilibrium_ncyc12,True,9,True,1.5369,1.5369,602.4,602.4,56.112394,1327.4,232.6,1,79.09,79.09,84.99,84.99,1.0,1.0,1.0,1.0,1.0,1.0,0,1.5376,1.5369,56.112394,0.514851,N3_N4,0,0,,,323,,True,False
N3_N4,N3,N4,5.4,101,55-60,0.55,0.587318,0.554455,0.594059,47,47,2,5.42583,42.693039,1.5041,a51109ae3bf1,0.594059,60,41,603.1,23.543308,56.177597,56.55,1362.1,197.9,1.8563,-0.0398,0.025,78.61,85.64,True,True,True,True,True,1.5152,1363.8,equilibrium_ncyc12,True,8,True,1.52454,1.5326,604.344681,606.7,56.293537,1375.2,184.8,47,76.9,78.146383,83.17,84.65766,1.0,1.0,1.0,1.0,1.0,1.0,0,1.509,1.5495,56.51293,0.594059,N3_N4,0,0,,,323,,True,False
N3_N4,N3,N4,5.4,101,60-65,0.6,0.632639,0.60396,0.633663,58,58,2,5.427,42.712696,1.4958,3334686132eb,0.633663,64,37,603.7,23.566731,56.233486,56.55,1366.3,193.7,1.8446,-0.0403,0.0252,80.47,87.68,True,True,True,True,True,1.5056,1371.1,equilibrium_ncyc12,True,8,True,1.51829,1.53255,605.594828,609.1,56.409986,1386.4,173.6,58,74.88,78.477759,81.37,85.372586,1.0,1.0,0.982759,1.0,1.0,1.0,0,1.4973,1.5453,56.736486,0.633663,N3_N4,0,0,,,323,,True,False
