cell,move_class,fresh_radial_dir,n,n_F_xy,mean_F_xy,median_F_xy,improving_F_xy,n_F_r,mean_F_r,median_F_r,improving_F_r,n_node_peak,mean_node_peak,median_node_peak,improving_node_peak,n_cyclen,mean_cyclen,median_cyclen,improving_cyclen
N1N2_f113,fresh_relocate,inward,39,39,0.18010256410256412,0.21499999999999986,0.1794871794871795,39,0.132048717948718,0.15270000000000006,0.15384615384615385,39,0.0523153696288524,0.023299932523315414,0.1794871794871795,39,-0.3694615384615324,0.4250000000000682,0.5641025641025641
N1N2_f113,fresh_relocate,outward,40,40,0.10793500000000003,0.05535000000000001,0.1,40,0.084755,0.04415000000000002,0.075,40,0.03708998858697356,0.018700003616613725,0.25,40,-1.4540499999999923,-1.1365000000000123,0.125
N1N2_f113,rewire_swap,neutral,20,20,0.011369999999999991,0.0046000000000001595,0.15,20,0.013700000000000013,0.008349999999999969,0.3,20,0.01600496768720091,0.008749961867565825,0.35,20,0.17389999999999758,0.07949999999999591,0.65
T6T4_f121,batch_flip,inward,11,9,0.016399999999999994,0.01770000000000005,0.2222222222222222,11,0.010800000000000061,0.01200000000000001,0.36363636363636365,11,0.015618172557974506,0.014999985744726496,0.2727272727272727,11,-2.0415454545454335,-2.11099999999999,0.0
T6T4_f121,batch_flip,outward,9,9,0.06537777777777783,0.042200000000000015,0.2222222222222222,9,0.04749999999999995,0.006699999999999928,0.4444444444444444,9,0.04005555312829453,0.00690007206710197,0.4444444444444444,9,1.5177777777777743,1.933999999999969,0.8888888888888888
T6T4_f121,batch_swap,inward,19,17,0.12711176470588234,0.12060000000000004,0.0,19,0.07599473684210527,0.06240000000000001,0.15789473684210525,19,0.03872631098291785,0.00789999960703125,0.42105263157894735,19,0.09700000000002187,0.06399999999996453,0.6842105263157895
T6T4_f121,batch_swap,outward,20,18,0.07422777777777778,0.06564999999999999,0.05555555555555555,20,0.05856,0.05894999999999995,0.1,20,0.03921498060622923,0.046999990919171175,0.15,20,0.020800000000008367,-0.031999999999982265,0.45
T6T4_f121,fresh_relocate,inward,40,36,0.14816944444444446,0.10180000000000011,0.027777777777777776,40,0.10655250000000001,0.08165,0.025,40,0.05254998803535216,0.04129999879041746,0.125,40,0.06682500000000288,0.16300000000001091,0.65
T6T4_f121,fresh_relocate,outward,40,36,0.15939166666666668,0.139,0.027777777777777776,40,0.119855,0.12209999999999988,0.125,40,0.06801998317638151,0.0576999783321106,0.1,40,-0.4502999999999872,-0.5109999999999673,0.35
T6T4_f121,rewire_swap,neutral,20,18,0.026888888888888865,0.0012000000000000899,0.3888888888888889,20,0.01579999999999997,0.0005999999999999339,0.4,20,0.009979981187970565,0.0009500384282775665,0.45,20,0.043100000000004,-0.04050000000000864,0.45
