fold,target,d_lo,d_hi,n_pairs,rho_err,delta_err_ratio
legacy_val,f_q,5,6,3958.0,0.5922449221991225,0.6385570278376689
legacy_val,f_q,7,10,9804.0,0.4408275828602561,0.7477783208543449
legacy_val,f_q,11,16,17611.0,0.3026886079344628,0.835051730173369
legacy_val,f_q,17,24,30564.0,0.18438837190881882,0.9031121902018493
legacy_val,f_q,25,40,107774.0,0.10874550515930646,0.944062760011586
legacy_val,f_q,41,200,602024.0,-0.05346659015797669,1.0263852055432094
legacy_val,f_r,1,2,582.0,0.6049152976964653,0.6285576364213028
legacy_val,f_r,3,4,1952.0,0.6607084038814629,0.5824874214251644
legacy_val,f_r,5,6,3958.0,0.5874645709170063,0.6422892098447502
legacy_val,f_r,7,10,9804.0,0.4233888774527389,0.7593491440353778
legacy_val,f_r,11,16,17611.0,0.2766271050762942,0.85051331260816
legacy_val,f_r,17,24,30564.0,0.1715330762240323,0.9102015841427478
legacy_val,f_r,25,40,107774.0,0.08599972990081828,0.9560336134776756
legacy_val,f_r,41,200,602024.0,-0.047692429152658804,1.0235684779987408
legacy_val,max_assembly_burnup,1,2,582.0,0.7720006228174975,0.47749280327823007
legacy_val,max_assembly_burnup,3,4,1952.0,0.6778284386495614,0.5676015868110647
legacy_val,max_assembly_burnup,5,6,3958.0,0.5445668472500008,0.674857875963524
legacy_val,max_assembly_burnup,7,10,9804.0,0.4664613122773941,0.7304373263481307
legacy_val,max_assembly_burnup,11,16,17611.0,0.32811276711039467,0.8196872774964884
legacy_val,max_assembly_burnup,17,24,30564.0,0.22228088979263583,0.8818838416749476
legacy_val,max_assembly_burnup,25,40,107774.0,0.020186285212690953,0.9898554009486987
legacy_val,max_assembly_burnup,41,200,602024.0,-0.040632117044454026,1.020113776519293
legacy_val,node_peak,1,2,406.0,0.717388223755777,0.5316124304831696
legacy_val,node_peak,3,4,1424.0,0.7696829297913276,0.479913607025965
legacy_val,node_peak,5,6,2973.0,0.6644770049318708,0.57924346786833
legacy_val,node_peak,7,10,7360.0,0.47424445550758454,0.7250900250951018
legacy_val,node_peak,11,16,13864.0,0.3030796032834795,0.8348175828985159
legacy_val,node_peak,17,24,23289.0,0.1814810591158024,0.9047203661265715
legacy_val,node_peak,25,40,79723.0,0.10069151846234185,0.9483187657837728
legacy_val,node_peak,41,200,156008.0,-0.15272144545505353,1.0736486601561301
new_unseen,ao_abs,5,6,31.0,0.3213089917843572,0.8238270499416991
new_unseen,ao_abs,7,10,614.0,0.11172799038273867,0.9424818351656764
new_unseen,ao_abs,11,16,2369.0,0.09138834094128671,0.9532112352772145
new_unseen,ao_abs,17,24,4853.0,0.06040985432914769,0.9693245822070398
new_unseen,ao_abs,25,40,8205.0,0.042630709956266645,0.978452497591852
new_unseen,ao_abs,41,200,71888.0,-0.027115799982509157,1.013467217024068
new_unseen,cbc_max,5,6,31.0,0.2348640429525932,0.8747205022448067
new_unseen,cbc_max,7,10,614.0,0.20906582663883533,0.8893448000416737
new_unseen,cbc_max,11,16,2369.0,0.13064277059816956,0.9323932804357988
new_unseen,cbc_max,17,24,4853.0,0.01035581283822447,0.9948086183592175
new_unseen,cbc_max,25,40,8205.0,-0.021412122068584758,1.010649356635913
new_unseen,cbc_max,41,200,71888.0,-0.018755406856892545,1.009334140340498
new_unseen,cyclen,5,6,31.0,0.1139316881029538,0.9413120162289685
new_unseen,cyclen,7,10,614.0,0.32786991314494385,0.8198354022942996
new_unseen,cyclen,11,16,2369.0,0.25599988713162974,0.8625544115407271
new_unseen,cyclen,17,24,4853.0,0.048816741670660906,0.975286244304378
new_unseen,cyclen,25,40,8205.0,-0.049236006446206286,1.0243222180770102
new_unseen,cyclen,41,200,71888.0,-0.02431967269180126,1.0120867910865161
new_unseen,f_q,5,6,31.0,0.20858191684905805,0.8896168181587745
new_unseen,f_q,7,10,614.0,0.2083728279709396,0.8897343266554686
new_unseen,f_q,11,16,2369.0,0.07608567726699235,0.9612046206365258
new_unseen,f_q,17,24,4853.0,0.03136210493485821,0.984194033239961
new_unseen,f_q,25,40,8205.0,-0.015025981628726724,1.00748497836381
new_unseen,f_q,41,200,71888.0,-0.01873103509939756,1.0093220670823548
new_unseen,f_r,5,6,31.0,0.03533924730601701,0.9821714477085877
new_unseen,f_r,7,10,614.0,0.20846463856416453,0.8896827307730748
