cell,e_target,feed,anchor_library_id,anchor_pair,anchor_e_core,anchor_realizability,anchor_n_store_pair_feed,lrm_ceil_efpd,surrogate_ceil,d_surr_minus_lrm,min_pred_f_r,fr_true_min,n_true,fr_pred_minus_true,cyclen_at_fr_min,tier_reached,n_feasible_tier1,n_feasible_tier2,n_feasible_tier3,GAP,DIS,REACH,score,role,n_chains
e5.2_f117,5.2,117,ga80,K1_K2,5.2,실현 확인,201,648.067729,647.143343,-0.924386,1.535404,1.5234,201,0.012004,644.81,tier1,44.0,611.0,816.0,0.0,0.601265,1.0,0.440506,,0
e6.3_f121,6.3,121,paramA,P6661Z1G10N12_P6661Z1G10N20,6.328165,실현 확인,48,795.45555,812.288852,16.833302,1.743713,1.8423,48,-0.098587,802.548,none,0.0,0.0,0.0,0.3,0.29346,1.0,0.437384,,0
e5.5_f121,5.5,121,ga80,G3_G4,5.5,실현 확인,406,694.49641,700.12346,5.62705,1.533021,1.5114,406,0.021621,688.888,tier1,17.0,628.0,792.0,0.0,0.55762,1.0,0.423048,,0
e6.1_f117,6.1,117,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,실현 확인,143,759.274817,774.086404,14.811587,1.89684,1.8666,143,0.03024,756.499,none,0.0,0.0,0.0,0.0,0.55293,1.0,0.421172,,0
e6.2_f109,6.2,109,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,실현 확인,332,740.53404,745.442816,4.908776,1.769539,1.8319,332,-0.062361,712.038,tier3,0.0,0.0,2.0,0.0,0.548461,1.0,0.419384,,0
e6.2_f117,6.2,117,paramA,P6656Z1G10N16_P6656Z2G08N12,6.141626,실현 확인,143,771.504716,785.467417,13.962701,1.720804,1.8666,143,-0.145796,756.499,none,0.0,0.0,0.0,0.0,0.490666,1.0,0.396266,,0
e5.2_f125,5.2,125,ga80,K1_K2,5.2,실현 확인,67,674.406956,677.386177,2.979221,1.52827,1.5194,67,0.00887,667.665,tier1,47.0,619.0,780.0,0.3,0.180143,1.0,0.392057,,0
e5.8_f121,5.8,121,paramA,P6253Z1G08N20_P6257Z1G06N24,5.853105,실현 확인,42,732.884648,743.638029,10.753381,1.739462,1.8093,42,-0.069838,743.186,tier3,0.0,0.0,20.0,0.3,0.168291,1.0,0.387317,,0
e5.5_f117,5.5,117,ga80,G3_G4,5.5,실현 확인,144,685.259116,686.193681,0.934565,1.582299,1.6121,144,-0.029801,683.971,tier2,0.0,156.0,732.0,0.0,0.464915,1.0,0.385966,,0
e5.5_f125,5.5,125,ga80,G3_G4,5.5,실현 확인,390,713.109902,712.248328,-0.861574,1.608728,1.5323,390,0.076428,698.853,tier2,0.0,314.0,718.0,0.0,0.459551,1.0,0.383821,,0
e5.8_f125,5.8,125,paramA,P6253Z1G08N20_P6257Z1G06N24,5.853105,실현 확인,276,752.526998,762.877681,10.350683,1.648495,1.8076,276,-0.159105,755.253,tier3,0.0,0.0,56.0,0.0,0.356111,1.0,0.342445,,0
e6.3_f117,6.3,117,paramA,P6661Z1G10N12_P6661Z1G10N20,6.328165,실현 확인,183,784.875428,796.495935,11.620507,1.704576,1.7504,183,-0.045824,786.453,none,0.0,0.0,0.0,0.0,0.318872,1.0,0.327549,,0
e5.0_f113,5.0,113,ga80,E1_E2,5.0,실현 확인,134,611.249494,609.719658,-1.529836,1.545669,1.6233,134,-0.077631,609.1,tier1,1.0,167.0,657.0,0.0,0.299269,1.0,0.319708,,0
