cell,e_target,library_id,pair,e_core,feed,is_primary,realizability,anchor_realizability,M_HM_tU,n_store_pair_feed,anchor_library_id,anchor_pair,anchor_e_core,anchor_n_seeded_feeds,anchor_n_store_pair_feed,alpha_B,alpha_C,alpha_source,e_extrapolated,feed_extrapolated,lrm_mean_efpd,lrm_ceil_efpd,lrm_mean_B_cycle,lrm_ceil_B_cycle,lrm_mean_B_d,lrm_ceil_B_d
e5.4_f125,5.4,ga80,N1_N2,5.4,125,True,실현 확인,실현 확인,102.031,150,ga80,N1_N2,5.4,6,150,1.047269,1.055388,extrapolated_log_feed,False,True,697.752012,700.20892,27.238122,27.334032,52.515098,52.700013
e5.4_f129,5.4,ga80,N1_N2,5.4,129,True,실현 확인,실현 확인,102.031,22,ga80,N1_N2,5.4,6,22,1.067768,1.075746,extrapolated_log_feed,False,True,711.410207,713.715877,27.771296,27.861302,51.882809,52.05096
e5.5_f109,5.5,ga80,G3_G4,5.5,109,True,실현 확인,실현 확인,102.031,128,ga80,G3_G4,5.5,6,128,0.96722,0.973457,fitted,False,False,656.618664,657.750615,25.6324,25.676588,56.673472,56.771172
e5.5_f113,5.5,ga80,G3_G4,5.5,113,True,실현 확인,실현 확인,102.031,67,ga80,G3_G4,5.5,6,67,0.987078,0.994604,fitted,False,False,670.099706,672.039332,26.158659,26.234377,55.789707,55.951192
e5.5_f117,5.5,ga80,G3_G4,5.5,117,True,실현 확인,실현 확인,102.031,144,ga80,G3_G4,5.5,6,144,1.003856,1.014169,fitted,False,False,681.489822,685.259116,26.603295,26.750437,54.79824,55.101327
e5.5_f121,5.5,ga80,G3_G4,5.5,121,True,실현 확인,실현 확인,102.031,406,ga80,G3_G4,5.5,6,406,1.019689,1.02784,fitted,False,False,692.238404,694.49641,27.022887,27.111033,53.822444,53.998007
e5.5_f125,5.5,ga80,G3_G4,5.5,125,True,실현 확인,실현 확인,102.031,390,ga80,G3_G4,5.5,6,390,1.047269,1.055388,extrapolated_log_feed,False,True,710.961428,713.109902,27.753777,27.837647,53.509282,53.670983
e5.5_f129,5.5,ga80,G3_G4,5.5,129,True,실현 확인,실현 확인,102.031,38,ga80,G3_G4,5.5,6,38,1.067768,1.075746,extrapolated_log_feed,False,True,724.878191,726.865717,28.297045,28.374632,52.865022,53.009972
e5.6_f109,5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,109,True,미발견,미발견,101.74,0,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,0,0,0.96722,0.973457,fitted,True,False,668.58094,669.418457,26.174087,26.206875,57.871147,57.943641
e5.6_f113,5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,113,True,미발견,미발견,101.74,0,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,0,0,0.987078,0.994604,fitted,True,False,682.307579,683.960643,26.711468,26.776183,56.968705,57.106726
e5.6_f117,5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,117,True,미발견,미발견,101.74,0,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,0,0,1.003856,1.014169,fitted,True,False,693.9052,697.414932,27.1655,27.302901,55.956285,56.239309
e5.6_f121,5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,121,True,미발견,미발견,101.74,0,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,0,0,1.019689,1.02784,fitted,True,False,704.8496,706.816087,27.593959,27.670944,54.959868,55.113203
e5.6_f125,5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,125,True,미발견,미발견,101.74,0,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,0,0,1.047269,1.055388,extrapolated_log_feed,True,True,723.91372,725.759763,28.340295,28.412565,54.640088,54.779425
e5.6_f129,5.6,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,129,True,미발견,미발견,101.74,0,paramA,P6253Z2G06N24_P6253Z2G10N24,5.598053,0,0,1.067768,1.075746,extrapolated_log_feed,True,True,738.084018,739.759593,28.895044,28.96064,53.982213,54.104762
e5.7_f109,5.7,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700414,109,True,미발견,미발견,102.123,0,paramA,P6253Z2G08N16_P6253Z2G10N20,5.653575,0,0,0.96722,0.973457,fitted,True,False,681.068614,681.598767,26.562948,26.583624,58.730921,58.776638
e5.7_f113,5.7,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700414,113,True,미발견,미발견,102.123,0,paramA,P6253Z2G08N16_P6253Z2G10N20,5.653575,0,0,0.987078,0.994604,fitted,True,False,695.051638,696.405553,27.108312,27.161117,57.815072,57.927692
e5.7_f117,5.7,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700414,117,True,미발견,미발견,102.123,0,paramA,P6253Z2G08N16_P6253Z2G10N20,5.653575,0,0,1.003856,1.014169,fitted,True,False,706.865878,710.104648,27.569089,27.695407,56.787611,57.047804
e5.7_f121,5.7,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700414,121,True,미발견,미발견,102.123,0,paramA,P6253Z2G08N16_P6253Z2G10N20,5.653575,0,0,1.019689,1.02784,fitted,True,False,718.014695,719.67686,28.003914,28.068741,55.77639,55.905509
e5.7_f125,5.7,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700414,125,True,미발견,미발견,102.123,0,paramA,P6253Z2G08N16_P6253Z2G10N20,5.653575,0,0,1.047269,1.055388,extrapolated_log_feed,True,True,737.434893,738.965223,28.761338,28.821023,55.451859,55.566933
e5.7_f129,5.7,paramA,P5853Z1G08N12_P6253Z1G06N24,5.700414,129,True,미발견,미발견,102.123,0,paramA,P6253Z2G08N16_P6253Z2G10N20,5.653575,0,0,1.067768,1.075746,extrapolated_log_feed,True,True,751.869862,753.219785,29.324328,29.376978,54.78421,54.882571
e5.8_f109,5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805536,109,True,실현 확인,실현 확인,101.925,165,paramA,P6253Z1G08N20_P6257Z1G06N24,5.853105,4,233,0.96722,0.973457,fitted,True,False,693.893236,694.107731,27.115696,27.124077,59.953052,59.971584
e5.8_f113,5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805536,113,True,격자-우회(fallback),격자-우회(fallback),101.925,0,paramA,P6253Z1G08N20_P6257Z1G06N24,5.853105,4,0,0.987078,0.994604,fitted,True,False,708.139562,709.186257,27.672408,27.71331,59.018145,59.105379
e5.8_f117,5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805536,117,True,실현 확인,실현 확인,101.925,22,paramA,P6253Z1G08N20_P6257Z1G06N24,5.853105,4,318,1.003856,1.014169,fitted,True,False,720.176266,723.136763,28.142774,28.258463,57.969303,58.207603
e5.8_f121,5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805536,121,True,실현 확인,실현 확인,101.925,34,paramA,P6253Z1G08N20_P6257Z1G06N24,5.853105,4,42,1.019689,1.02784,fitted,True,False,731.535018,732.884648,28.586647,28.639387,56.93704,57.042085
e5.8_f125,5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805536,125,True,실현 확인,실현 확인,101.925,152,paramA,P6253Z1G08N20_P6257Z1G06N24,5.853105,4,276,1.047269,1.055388,extrapolated_log_feed,True,True,751.3209,752.526998,29.359832,29.406963,56.605756,56.696625
e5.8_f129,5.8,paramA,P6253Z1G06N24_P6253Z1G08N20,5.805536,129,True,격자-우회(fallback),격자-우회(fallback),101.925,0,paramA,P6253Z1G08N20_P6257Z1G06N24,5.853105,4,0,1.067768,1.075746,extrapolated_log_feed,True,True,766.027682,767.043166,29.934538,29.974221,55.924214,55.99835
e5.9_f109,5.9,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908703,109,True,미발견,실현 확인,101.998,0,paramA,P6257Z1G06N24_P6257Z1G10N12,5.936711,6,156,0.96722,0.973457,fitted,True,False,706.479392,706.384098,27.587849,27.584128,60.996987,60.98876
e5.9_f113,5.9,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908703,113,True,미발견,실현 확인,101.998,0,paramA,P6257Z1G06N24_P6257Z1G10N12,5.936711,6,12,0.987078,0.994604,fitted,True,False,720.984124,721.729311,28.154255,28.183355,60.045801,60.107863
e5.9_f117,5.9,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908703,117,True,미발견,실현 확인,101.998,0,paramA,P6257Z1G06N24_P6257Z1G10N12,5.936711,6,26,1.003856,1.014169,fitted,True,False,733.239156,735.926553,28.632811,28.737754,58.978697,59.19486
e5.9_f121,5.9,paramA,P6253Z1G08N20_P6257Z1G10N12,5.908703,121,True,미발견,실현 확인,101.998,0,paramA,P6257Z1G06N24_P6257Z1G10N12,5.936711,6,32,1.019689,1.02784,fitted,True,False,744.803937,745.846844,29.084413,29.125138,57.928459,58.009573
